,precision,recall,f1-score,support,Groupe
Isaiah Roby,0.0,0.0,0.0,1.0,Faible
Isaiah Stewart,0.0,0.0,0.0,3.0,Faible
Isaiah Taylor,0.0,0.0,0.0,0.0,Faible
Isaiah Thomas,0.0,0.0,0.0,4.0,Faible
Isaiah Todd,0.0,0.0,0.0,0.0,Faible
Isaiah Whitehead,0.0,0.0,0.0,1.0,Faible
Ish Smith,1.0,0.16666666666666666,0.2857142857142857,6.0,Fort
Ish Wainright,0.0,0.0,0.0,1.0,Faible
Ivan Johnson,0.0,0.0,0.0,0.0,Faible
Ivan Rabb,0.0,0.0,0.0,0.0,Faible
Ivica Zubac,0.0,0.0,0.0,1.0,Faible
J.J. Barea,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,Faible
J.P. Macura,0.0,0.0,0.0,1.0,Faible
JJ Hickson,0.0,0.0,0.0,1.0,Faible
JJ Redick,0.5,0.3333333333333333,0.4,3.0,Faible
JR Smith,0.0,0.0,0.0,1.0,Faible
JT Thor,0.0,0.0,0.0,1.0,Faible
Ja Morant,1.0,1.0,1.0,1.0,Fort
JaKarr Sampson,1.0,0.5,0.6666666666666666,2.0,Fort
JaMychal Green,0.0,0.0,0.0,1.0,Faible
JaQuori McLaughlin,0.0,0.0,0.0,1.0,Faible
JaVale McGee,0.0,0.0,0.0,7.0,Faible
Jabari Bird,0.0,0.0,0.0,1.0,Faible
Jabari Parker,0.0,0.0,0.0,2.0,Faible
Jack Cooley,0.0,0.0,0.0,0.0,Faible
Jack White,0.0,0.0,0.0,1.0,Faible
Jacob Gilyard,0.0,0.0,0.0,0.0,Faible
Jacob Wiley,0.0,0.0,0.0,0.0,Faible
Jaden Ivey,0.0,0.0,0.0,1.0,Faible
Jaden McDaniels,0.0,0.0,0.0,0.0,Faible
Jae Crowder,0.0,0.0,0.0,1.0,Faible
Jae'Sean Tate,0.0,0.0,0.0,1.0,Faible
Jahlil Okafor,0.3333333333333333,0.5,0.4,2.0,Faible
Jake LaRavia,0.0,0.0,0.0,1.0,Faible
Jake Layman,0.0,0.0,0.0,1.0,Faible
Jakob Poeltl,0.0,0.0,0.0,2.0,Faible
Jalen Brunson,0.0,0.0,0.0,1.0,Faible
Jalen Duren,0.0,0.0,0.0,1.0,Faible
Jalen Green,0.0,0.0,0.0,2.0,Faible
Jalen Jones,0.0,0.0,0.0,2.0,Faible
Jalen Lecque,0.0,0.0,0.0,0.0,Faible
Jalen McDaniels,0.0,0.0,0.0,2.0,Faible
Jalen Smith,0.0,0.0,0.0,1.0,Faible
Jalen Suggs,0.0,0.0,0.0,1.0,Faible
Jamaal Franklin,0.0,0.0,0.0,2.0,Faible
Jamaal Tinsley,0.0,0.0,0.0,1.0,Faible
Jamal Cain,0.0,0.0,0.0,1.0,Faible
Jamal Crawford,1.0,1.0,1.0,1.0,Fort
Jamal Murray,0.0,0.0,0.0,2.0,Faible
Jamaree Bouyea,0.0,0.0,0.0,1.0,Faible
Jameel Warney,0.0,0.0,0.0,1.0,Faible
Jameer Nelson,0.0,0.0,0.0,0.0,Faible
James Ennis III,0.0,0.0,0.0,3.0,Faible
James Harden,0.75,0.75,0.75,4.0,Moyen
James Johnson,1.0,0.25,0.4,4.0,Fort
James Jones,0.5,0.3333333333333333,0.4,3.0,Faible
James Michael McAdoo,0.0,0.0,0.0,0.0,Faible
James Nunnally,0.0,0.0,0.0,1.0,Faible
James Webb III,0.0,0.0,0.0,0.0,Faible
James White,0.0,0.0,0.0,1.0,Faible
James Wiseman,0.0,0.0,0.0,0.0,Faible
James Young,0.0,0.0,0.0,1.0,Faible
Jamil Wilson,0.0,0.0,0.0,0.0,Faible
Jamorko Pickett,0.0,0.0,0.0,0.0,Faible
Jared Butler,0.0,0.0,0.0,0.0,Faible
Jared Dudley,0.0,0.0,0.0,5.0,Faible
Jared Harper,0.0,0.0,0.0,1.0,Faible
Jared Rhoden,0.0,0.0,0.0,1.0,Faible
Jared Sullinger,0.0,0.0,0.0,2.0,Faible
Jared Terrell,0.0,0.0,0.0,0.0,Faible
Jarell Eddie,0.0,0.0,0.0,2.0,Faible
Jarell Martin,0.0,0.0,0.0,0.0,Faible
Jaren Jackson Jr.,0.0,0.0,0.0,1.0,Faible
Jarnell Stokes,0.0,0.0,0.0,0.0,Faible
Jaron Blossomgame,0.0,0.0,0.0,0.0,Faible
Jarrell Brantley,0.0,0.0,0.0,1.0,Faible
Jarrett Allen,0.0,0.0,0.0,2.0,Faible
Jarrett Culver,0.0,0.0,0.0,3.0,Faible
Jarrett Jack,0.0,0.0,0.0,0.0,Faible
Jarrod Uthoff,0.0,0.0,0.0,1.0,Faible
Jarron Cumberland,0.0,0.0,0.0,0.0,Faible
Jason Collins,0.0,0.0,0.0,1.0,Faible
Jason Maxiell,0.0,0.0,0.0,0.0,Faible
Jason Preston,0.0,0.0,0.0,0.0,Faible
Jason Smith,0.0,0.0,0.0,3.0,Faible
Jason Terry,0.2,0.3333333333333333,0.25,3.0,Faible
Jason Thompson,0.5,1.0,0.6666666666666666,1.0,Faible
Javonte Green,0.0,0.0,0.0,1.0,Faible
Jaxson Hayes,0.0,0.0,0.0,1.0,Faible
Jay Scrubb,0.0,0.0,0.0,1.0,Faible
Jaylen Brown,1.0,0.25,0.4,4.0,Fort
Jaylen Hoard,0.0,0.0,0.0,2.0,Faible
Jaylen Morris,0.0,0.0,0.0,2.0,Faible
Jaylen Nowell,0.0,0.0,0.0,1.0,Faible
Jayson Tatum,0.0,0.0,0.0,0.0,Faible
Jeff Adrien,0.0,0.0,0.0,0.0,Faible
Jeff Ayres,0.0,0.0,0.0,1.0,Faible
Jeff Green,0.25,0.25,0.25,4.0,Faible
Jeff Teague,0.5,0.25,0.3333333333333333,4.0,Faible
Jeff Withey,0.0,0.0,0.0,2.0,Faible
Jeffery Taylor,0.0,0.0,0.0,2.0,Faible
Jemerrio Jones,0.0,0.0,0.0,1.0,Faible
Jerami Grant,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,Moyen
Jeremiah Martin,0.0,0.0,0.0,1.0,Faible
Jeremiah Robinson-Earl,0.0,0.0,0.0,1.0,Faible
Jeremy Evans,0.0,0.0,0.0,3.0,Faible
Jeremy Lamb,0.0,0.0,0.0,2.0,Faible
Jeremy Lin,0.0,0.0,0.0,2.0,Faible
Jeremy Sochan,0.0,0.0,0.0,0.0,Faible
Jerian Grant,0.0,0.0,0.0,1.0,Faible
Jericho Sims,0.0,0.0,0.0,1.0,Faible
Jerome Robinson,0.0,0.0,0.0,1.0,Faible
Jerry Stackhouse,0.0,0.0,0.0,1.0,Faible
Jerryd Bayless,0.0,0.0,0.0,4.0,Faible
Jevon Carter,0.0,0.0,0.0,3.0,Faible
Jimmer Fredette,0.0,0.0,0.0,2.0,Faible
Jimmy Butler,0.6666666666666666,0.5,0.5714285714285715,4.0,Moyen
Joakim Noah,0.0,0.0,0.0,3.0,Faible
Jodie Meeks,0.0,0.0,0.0,2.0,Faible
Joe Harris,0.0,0.0,0.0,2.0,Faible
Joe Ingles,0.5,0.5,0.5,4.0,Faible
Joe Johnson,0.0,0.0,0.0,0.0,Faible
Joe Wieskamp,0.0,0.0,0.0,1.0,Faible
Joe Young,0.0,0.0,0.0,2.0,Faible
Joel Ayayi,0.0,0.0,0.0,1.0,Faible
Joel Embiid,0.0,0.0,0.0,2.0,Faible
Joel Freeland,0.0,0.0,0.0,0.0,Faible
Joffrey Lauvergne,0.0,0.0,0.0,0.0,Faible
Johan Petro,0.0,0.0,0.0,1.0,Faible
John Butler Jr.,0.0,0.0,0.0,1.0,Faible
John Collins,0.5,0.3333333333333333,0.4,3.0,Faible
John Henson,0.0,0.0,0.0,1.0,Faible
John Holland,0.0,0.0,0.0,0.0,Faible
John Jenkins,0.0,0.0,0.0,2.0,Faible
John Konchar,0.0,0.0,0.0,0.0,Faible
John Lucas III,0.0,0.0,0.0,1.0,Faible
John Salmons,0.0,0.0,0.0,1.0,Faible
John Wall,0.0,0.0,0.0,2.0,Faible
Johnathan Motley,0.0,0.0,0.0,1.0,Faible
Johnathan Williams,0.0,0.0,0.0,1.0,Faible
Johnny Davis,0.0,0.0,0.0,0.0,Faible
Jon Leuer,0.0,0.0,0.0,2.0,Faible
Jonas Jerebko,0.5,0.5,0.5,2.0,Faible
Jonas Valanciunas,0.5,0.3333333333333333,0.4,3.0,Faible
Jonathan Gibson,0.0,0.0,0.0,1.0,Faible
Jonathan Isaac,0.0,0.0,0.0,1.0,Faible
Jonathon Simmons,0.0,0.0,0.0,1.0,Faible
Jontay Porter,0.0,0.0,0.0,1.0,Faible
Jordan Adams,0.0,0.0,0.0,1.0,Faible
Jordan Bell,0.0,0.0,0.0,3.0,Faible
Jordan Bone,0.0,0.0,0.0,0.0,Faible
Jordan Clarkson,0.0,0.0,0.0,3.0,Faible
Jordan Farmar,0.0,0.0,0.0,1.0,Faible
Jordan Goodwin,0.0,0.0,0.0,1.0,Faible
Jordan Hall,0.0,0.0,0.0,1.0,Faible
Jordan Hamilton,0.0,0.0,0.0,0.0,Faible
Jordan Hill,0.0,0.0,0.0,3.0,Faible
Jordan Loyd,0.0,0.0,0.0,1.0,Faible
Jordan McLaughlin,0.0,0.0,0.0,1.0,Faible
Jordan McRae,0.0,0.0,0.0,2.0,Faible
Jordan Mickey,0.0,0.0,0.0,1.0,Faible
Jordan Nwora,0.0,0.0,0.0,1.0,Faible
Jordan Schakel,0.0,0.0,0.0,1.0,Faible
Jorge Gutierrez,0.0,0.0,0.0,3.0,Faible
Jose Alvarado,0.0,0.0,0.0,1.0,Faible
Jose Calderon,0.0,0.0,0.0,4.0,Faible
Josh Akognon,0.0,0.0,0.0,1.0,Faible
Josh Childress,0.0,0.0,0.0,1.0,Faible
Josh Green,0.0,0.0,0.0,1.0,Faible
Josh Harrellson,0.0,0.0,0.0,1.0,Faible
Josh Hart,0.0,0.0,0.0,1.0,Faible
Josh Huestis,0.0,0.0,0.0,0.0,Faible
Josh Jackson,0.5,1.0,0.6666666666666666,1.0,Faible
Josh McRoberts,0.0,0.0,0.0,2.0,Faible
Josh Okogie,0.0,0.0,0.0,2.0,Faible
Josh Powell,0.0,0.0,0.0,0.0,Faible
Josh Reaves,0.0,0.0,0.0,0.0,Faible
Josh Richardson,0.0,0.0,0.0,2.0,Faible
Josh Smith,1.0,1.0,1.0,1.0,Fort
Joshua Primo,0.0,0.0,0.0,1.0,Faible
Jrue Holiday,0.0,0.0,0.0,1.0,Faible
Juan Toscano-Anderson,0.0,0.0,0.0,1.0,Faible
Juancho Hernangomez,0.0,0.0,0.0,1.0,Faible
Julian Champagnie,0.0,0.0,0.0,0.0,Faible
Julius Randle,0.0,0.0,0.0,2.0,Faible
Justin Anderson,0.0,0.0,0.0,3.0,Faible
Justin Champagnie,0.0,0.0,0.0,2.0,Faible
Justin Hamilton,0.0,0.0,0.0,2.0,Faible
Justin Harper,0.0,0.0,0.0,0.0,Faible
Justin Holiday,0.0,0.0,0.0,2.0,Faible
Justin Jackson,0.0,0.0,0.0,1.0,Faible
Justin James,0.0,0.0,0.0,0.0,Faible
Justin Patton,0.0,0.0,0.0,2.0,Faible
Justin Robinson,0.0,0.0,0.0,1.0,Faible
Justin Wright-Foreman,0.0,0.0,0.0,1.0,Faible
Justise Winslow,0.0,0.0,0.0,2.0,Faible
Jusuf Nurkic,1.0,0.25,0.4,4.0,Fort
Juwan Howard,0.0,0.0,0.0,1.0,Faible
Juwan Morgan,0.0,0.0,0.0,2.0,Faible
KJ Martin,0.0,0.0,0.0,1.0,Faible
KJ McDaniels,0.0,0.0,0.0,0.0,Faible
KZ Okpala,0.0,0.0,0.0,0.0,Faible
Kai Jones,0.0,0.0,0.0,1.0,Faible
Kalin Lucas,0.0,0.0,0.0,1.0,Faible
Karl-Anthony Towns,0.0,0.0,0.0,1.0,Faible
Kawhi Leonard,0.0,0.0,0.0,1.0,Faible
Kay Felder,0.0,0.0,0.0,1.0,Faible
Keegan Murray,0.0,0.0,0.0,1.0,Faible
Keifer Sykes,0.0,0.0,0.0,1.0,Faible
Keita Bates-Diop,0.0,0.0,0.0,1.0,Faible
Keith Bogans,0.0,0.0,0.0,0.0,Faible
Kelan Martin,0.0,0.0,0.0,1.0,Faible
Keldon Johnson,0.0,0.0,0.0,0.0,Faible
Kelly Olynyk,0.0,0.0,0.0,2.0,Faible
Kelly Oubre Jr.,0.0,0.0,0.0,2.0,Faible
Kemba Walker,1.0,0.2,0.33333333333333337,5.0,Fort
Kendall Brown,0.0,0.0,0.0,1.0,Faible
Kendall Marshall,0.0,0.0,0.0,2.0,Faible
Kendrick Nunn,0.0,0.0,0.0,2.0,Faible
Kenneth Faried,0.0,0.0,0.0,3.0,Faible
Kenneth Lofton Jr.,0.0,0.0,0.0,0.0,Faible
Kenrich Williams,0.0,0.0,0.0,2.0,Faible
Kent Bazemore,0.0,0.0,0.0,4.0,Faible
Kentavious Caldwell-Pope,0.0,0.0,0.0,4.0,Faible
Keon Ellis,0.0,0.0,0.0,0.0,Faible
Keon Johnson,0.0,0.0,0.0,0.0,Faible
Kessler Edwards,0.0,0.0,0.0,2.0,Faible
Kevin Durant,0.0,0.0,0.0,5.0,Faible
Kevin Huerter,0.0,0.0,0.0,1.0,Faible
Kevin Jones,0.0,0.0,0.0,1.0,Faible
Kevin Knox II,0.0,0.0,0.0,1.0,Faible
Kevin Love,0.0,0.0,0.0,3.0,Faible
Kevin Martin,0.0,0.0,0.0,1.0,Faible
Kevin Porter Jr.,0.0,0.0,0.0,1.0,Faible
Kevin Seraphin,0.0,0.0,0.0,1.0,Faible
Kevon Looney,0.0,0.0,0.0,3.0,Faible
Keyon Dooling,0.0,0.0,0.0,1.0,Faible
Khem Birch,0.0,0.0,0.0,1.0,Faible
Khris Middleton,0.0,0.0,0.0,4.0,Faible
Khyri Thomas,0.0,0.0,0.0,1.0,Faible
Killian Hayes,0.0,0.0,0.0,1.0,Faible
Kira Lewis Jr.,0.0,0.0,0.0,0.0,Faible
Kirk Hinrich,0.0,0.0,0.0,2.0,Faible
Klay Thompson,0.5,0.2,0.28571428571428575,5.0,Faible
Kobe Bryant,0.0,0.0,0.0,1.0,Faible
Kosta Koufos,0.0,0.0,0.0,2.0,Faible
Kostas Antetokounmpo,0.0,0.0,0.0,2.0,Faible
Kris Humphries,0.0,0.0,0.0,3.0,Faible
Kristaps Porzingis,0.0,0.0,0.0,5.0,Faible
Ky Bowman,0.0,0.0,0.0,0.0,Faible
Kyle Anderson,0.0,0.0,0.0,4.0,Faible
Kyle Korver,0.0,0.0,0.0,3.0,Faible
Kyle Kuzma,0.0,0.0,0.0,0.0,Faible
Kyle Lowry,0.0,0.0,0.0,6.0,Faible
Kyle O'Quinn,0.0,0.0,0.0,2.0,Faible
Kyle Singler,0.0,0.0,0.0,2.0,Faible
Kyrie Irving,0.0,0.0,0.0,3.0,Faible
LaMarcus Aldridge,1.0,0.25,0.4,4.0,Fort
Lamar Odom,0.0,0.0,0.0,1.0,Faible
Lamar Patterson,0.0,0.0,0.0,0.0,Faible
Lamar Stevens,0.0,0.0,0.0,0.0,Faible
Lance Stephenson,0.0,0.0,0.0,2.0,Faible
Lance Thomas,0.0,0.0,0.0,2.0,Faible
Landry Fields,0.0,0.0,0.0,2.0,Faible
Landry Shamet,0.0,0.0,0.0,2.0,Faible
Langston Galloway,0.0,0.0,0.0,1.0,Faible
Larry Drew II,0.0,0.0,0.0,0.0,Faible
Larry Sanders,0.0,0.0,0.0,1.0,Faible
Lauri Markkanen,0.0,0.0,0.0,1.0,Faible
Lavoy Allen,0.0,0.0,0.0,1.0,Faible
Lazar Hayward,0.0,0.0,0.0,1.0,Faible
LeBron James,1.0,0.4,0.5714285714285715,5.0,Fort
Leandro Barbosa,0.0,0.0,0.0,2.0,Faible
Leandro Bolmaro,0.0,0.0,0.0,1.0,Faible
Lester Quinones,0.0,0.0,0.0,1.0,Faible
Lindell Wigginton,0.0,0.0,0.0,1.0,Faible
Lindy Waters III,0.0,0.0,0.0,1.0,Faible
Lonnie Walker IV,0.0,0.0,0.0,1.0,Faible
Lorenzo Brown,0.0,0.0,0.0,1.0,Faible
Lou Amundson,0.0,0.0,0.0,1.0,Faible
Lou Williams,0.0,0.0,0.0,3.0,Faible
Luc Mbah a Moute,0.0,0.0,0.0,1.0,Faible
Lucas Nogueira,0.0,0.0,0.0,1.0,Faible
Luguentz Dort,0.0,0.0,0.0,1.0,Faible
Luis Scola,0.0,0.0,0.0,4.0,Faible
Luka Garza,0.0,0.0,0.0,1.0,Faible
Luka Samanic,0.0,0.0,0.0,1.0,Faible
Luke Babbitt,1.0,0.5,0.6666666666666666,2.0,Fort
Luke Kennard,0.0,0.0,0.0,4.0,Faible
Luke Kornet,0.0,0.0,0.0,1.0,Faible
Luke Ridnour,0.0,0.0,0.0,0.0,Faible
Luke Zeller,0.0,0.0,0.0,1.0,Faible
Luol Deng,0.0,0.0,0.0,4.0,Faible
Maalik Wayns,0.0,0.0,0.0,1.0,Faible
Mac McClung,0.0,0.0,0.0,1.0,Faible
Malachi Flynn,0.0,0.0,0.0,0.0,Faible
Malachi Richardson,0.0,0.0,0.0,0.0,Faible
Malaki Branham,0.0,0.0,0.0,1.0,Faible
Malcolm Brogdon,0.0,0.0,0.0,3.0,Faible
Malcolm Delaney,0.0,0.0,0.0,0.0,Faible
Malcolm Miller,0.0,0.0,0.0,2.0,Faible
Malcolm Thomas,0.0,0.0,0.0,1.0,Faible
Malik Beasley,1.0,0.3333333333333333,0.5,3.0,Fort
Malik Monk,0.0,0.0,0.0,1.0,Faible
Manny Harris,0.0,0.0,0.0,0.0,Faible
Manu Ginobili,1.0,1.0,1.0,2.0,Fort
MarJon Beauchamp,0.0,0.0,0.0,1.0,Faible
MarShon Brooks,0.0,0.0,0.0,0.0,Faible
Marc Gasol,1.0,0.16666666666666666,0.2857142857142857,6.0,Fort
Marcin Gortat,1.0,0.3333333333333333,0.5,3.0,Fort
Marco Belinelli,0.0,0.0,0.0,3.0,Faible
Marcus Derrickson,0.0,0.0,0.0,1.0,Faible
Marcus Georges-Hunt,0.0,0.0,0.0,1.0,Faible
Marcus Morris Sr.,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,Faible
Marcus Smart,0.0,0.0,0.0,1.0,Faible
Marcus Thornton,0.0,0.0,0.0,1.0,Faible
Mario Hezonja,0.0,0.0,0.0,2.0,Faible
Mark Williams,0.0,0.0,0.0,0.0,Faible
Markel Brown,0.0,0.0,0.0,1.0,Faible
Markieff Morris,0.0,0.0,0.0,3.0,Faible
Marko Simonovic,0.0,0.0,0.0,2.0,Faible
Marques Bolden,0.0,0.0,0.0,1.0,Faible
Marquese Chriss,0.0,0.0,0.0,4.0,Faible
Marquis Teague,0.0,0.0,0.0,1.0,Faible
Marreese Speights,0.0,0.0,0.0,0.0,Faible
Marshall Plumlee,0.0,0.0,0.0,1.0,Faible
Martell Webster,0.0,0.0,0.0,1.0,Faible
Marvin Bagley III,0.0,0.0,0.0,2.0,Faible
Marvin Williams,1.0,0.25,0.4,4.0,Fort
Mason Jones,0.0,0.0,0.0,2.0,Faible
Mason Plumlee,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,Faible
Matisse Thybulle,1.0,1.0,1.0,1.0,Fort
Matt Barnes,0.0,0.0,0.0,1.0,Faible
Matt Bonner,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,Moyen
Matt Ryan,0.0,0.0,0.0,1.0,Faible
Matthew Dellavedova,0.0,0.0,0.0,3.0,Faible
Maurice Harkless,0.0,0.0,0.0,1.0,Faible
Max Strus,0.0,0.0,0.0,4.0,Faible
Maxi Kleber,0.0,0.0,0.0,1.0,Faible
Melvin Ely,0.0,0.0,0.0,1.0,Faible
Melvin Frazier Jr.,0.0,0.0,0.0,2.0,Faible
Metta World Peace,0.0,0.0,0.0,1.0,Faible
Meyers Leonard,0.0,0.0,0.0,5.0,Faible
Mfiondu Kabengele,0.0,0.0,0.0,1.0,Faible
Micah Potter,0.0,0.0,0.0,1.0,Faible
Michael Beasley,0.0,0.0,0.0,2.0,Faible
Michael Carter-Williams,0.0,0.0,0.0,3.0,Faible
Michael Gbinije,0.0,0.0,0.0,1.0,Faible
Michael Kidd-Gilchrist,0.0,0.0,0.0,2.0,Faible
Michael Porter Jr.,0.0,0.0,0.0,2.0,Faible
Mickael Pietrus,0.0,0.0,0.0,1.0,Faible
Mikal Bridges,0.0,0.0,0.0,1.0,Faible
Mike Conley,0.0,0.0,0.0,3.0,Faible
Mike Dunleavy,0.0,0.0,0.0,2.0,Faible
Mike James,0.0,0.0,0.0,1.0,Faible
Mike Miller,0.0,0.0,0.0,0.0,Faible
Mike Muscala,0.0,0.0,0.0,2.0,Faible
Mike Scott,0.0,0.0,0.0,4.0,Faible
Miles Bridges,0.0,0.0,0.0,1.0,Faible
Miles Plumlee,0.0,0.0,0.0,1.0,Faible
Milos Teodosic,0.0,0.0,0.0,1.0,Faible
Mindaugas Kuzminskas,0.0,0.0,0.0,1.0,Faible
Miroslav Raduljica,0.0,0.0,0.0,1.0,Faible
Mirza Teletovic,0.0,0.0,0.0,1.0,Faible
Mitchell Creek,0.0,0.0,0.0,1.0,Faible
Mitchell Robinson,0.0,0.0,0.0,2.0,Faible
Mo Bamba,0.0,0.0,0.0,3.0,Faible
Mo Williams,0.0,0.0,0.0,1.0,Faible
Monte Morris,0.0,0.0,0.0,3.0,Faible
Montrezl Harrell,0.0,0.0,0.0,4.0,Faible
Moritz Wagner,0.0,0.0,0.0,3.0,Faible
Moses Brown,0.0,0.0,0.0,2.0,Faible
Moses Moody,0.0,0.0,0.0,1.0,Faible
Moses Wright,0.0,0.0,0.0,1.0,Faible
Mychal Mulder,0.0,0.0,0.0,1.0,Faible
Myles Powell,0.0,0.0,0.0,0.0,Faible
Myles Turner,0.0,0.0,0.0,2.0,Faible
Nando De Colo,0.0,0.0,0.0,1.0,Faible
Nassir Little,0.0,0.0,0.0,2.0,Faible
Nate Robinson,0.0,0.0,0.0,1.0,Faible
Nate Williams,0.0,0.0,0.0,1.0,Faible
Nate Wolters,0.0,0.0,0.0,2.0,Faible
Naz Reid,0.0,0.0,0.0,1.0,Faible
Nazr Mohammed,1.0,0.5,0.6666666666666666,2.0,Fort
Nemanja Bjelica,0.0,0.0,0.0,1.0,Faible
Nerlens Noel,0.0,0.0,0.0,3.0,Faible
Nic Claxton,0.0,0.0,0.0,2.0,Faible
Nick Calathes,0.0,0.0,0.0,0.0,Faible
Nick Collison,0.0,0.0,0.0,2.0,Faible
Nick Richards,0.0,0.0,0.0,1.0,Faible
Nick Young,0.0,0.0,0.0,1.0,Faible
Nicolas Batum,0.0,0.0,0.0,3.0,Faible
Nicolas Laprovittola,0.0,0.0,0.0,1.0,Faible
Nicolo Melli,0.0,0.0,0.0,2.0,Faible
Nigel Hayes,0.0,0.0,0.0,1.0,Faible
Nigel Williams-Goss,0.0,0.0,0.0,1.0,Faible
Nik Stauskas,0.0,0.0,0.0,2.0,Faible
Nikola Jokic,1.0,0.5,0.6666666666666666,2.0,Fort
Nikola Jovic,0.0,0.0,0.0,1.0,Faible
Nikola Mirotic,0.5,0.5,0.5,2.0,Faible
Nikola Pekovic,0.0,0.0,0.0,1.0,Faible
Nikola Vucevic,0.0,0.0,0.0,2.0,Faible
Noah Vonleh,0.0,0.0,0.0,2.0,Faible
Nolan Smith,0.0,0.0,0.0,1.0,Faible
Norman Powell,0.0,0.0,0.0,5.0,Faible
Norris Cole,0.0,0.0,0.0,1.0,Faible
Norvel Pelle,0.0,0.0,0.0,1.0,Faible
O.J. Mayo,0.0,0.0,0.0,3.0,Faible
OG Anunoby,0.0,0.0,0.0,0.0,Faible
Obi Toppin,0.0,0.0,0.0,1.0,Faible
Olivier Sarr,0.0,0.0,0.0,1.0,Faible
Omari Johnson,0.0,0.0,0.0,1.0,Faible
Omari Spellman,0.0,0.0,0.0,1.0,Faible
Omer Asik,0.0,0.0,0.0,1.0,Faible
Omri Casspi,0.0,0.0,0.0,3.0,Faible
Onyeka Okongwu,0.0,0.0,0.0,1.0,Faible
Orlando Johnson,0.0,0.0,0.0,0.0,Faible
Oshae Brissett,0.0,0.0,0.0,1.0,Faible
Otto Porter Jr.,0.0,0.0,0.0,2.0,Faible
P.J. Tucker,0.5,0.5,0.5,2.0,Faible
P.J. Washington,0.0,0.0,0.0,1.0,Faible
Pablo Prigioni,0.0,0.0,0.0,1.0,Faible
Paolo Banchero,0.0,0.0,0.0,1.0,Faible
Pascal Siakam,0.0,0.0,0.0,1.0,Faible
Pat Connaughton,0.0,0.0,0.0,4.0,Faible
Patricio Garino,0.0,0.0,0.0,1.0,Faible
Patrick Beverley,0.0,0.0,0.0,4.0,Faible
Patrick McCaw,0.0,0.0,0.0,2.0,Faible
Patrick Patterson,0.0,0.0,0.0,3.0,Faible
Patty Mills,0.0,0.0,0.0,3.0,Faible
Pau Gasol,0.0,0.0,0.0,1.0,Faible
Paul George,1.0,0.25,0.4,4.0,Fort
Paul Millsap,0.0,0.0,0.0,3.0,Faible
Paul Pierce,0.0,0.0,0.0,2.0,Faible
Paul Watson,0.0,0.0,0.0,3.0,Faible
Payton Pritchard,0.0,0.0,0.0,3.0,Faible
Pero Antic,0.0,0.0,0.0,1.0,Faible
Perry Jones III,0.0,0.0,0.0,1.0,Faible
Peyton Siva,0.0,0.0,0.0,1.0,Faible
Peyton Watson,0.0,0.0,0.0,1.0,Faible
Phil Pressey,0.0,0.0,0.0,2.0,Faible
Precious Achiuwa,0.0,0.0,0.0,0.0,Faible
Quenton Jackson,0.0,0.0,0.0,1.0,Faible
Quinn Cook,0.0,0.0,0.0,1.0,Faible
Quinndary Weatherspoon,0.0,0.0,0.0,3.0,Faible
R.J. Hampton,0.0,0.0,0.0,1.0,Faible
RJ Barrett,0.0,0.0,0.0,3.0,Faible
RJ Hunter,0.0,0.0,0.0,1.0,Faible
Rajon Rondo,0.0,0.0,0.0,1.0,Faible
Rakeem Christmas,0.0,0.0,0.0,2.0,Faible
Ramon Sessions,0.0,0.0,0.0,3.0,Faible
Randy Foye,0.0,0.0,0.0,3.0,Faible
Rashad Vaughn,0.0,0.0,0.0,1.0,Faible
Rasheed Wallace,0.0,0.0,0.0,1.0,Faible
Rasual Butler,0.0,0.0,0.0,1.0,Faible
Raul Neto,0.0,0.0,0.0,3.0,Faible
Ray McCallum,0.0,0.0,0.0,2.0,Faible
Ray Spalding,0.0,0.0,0.0,2.0,Faible
Rayjon Tucker,0.0,0.0,0.0,2.0,Faible
Raymond Felton,0.0,0.0,0.0,3.0,Faible
Reggie Bullock Jr.,0.0,0.0,0.0,1.0,Faible
Reggie Evans,0.0,0.0,0.0,1.0,Faible
Reggie Jackson,0.0,0.0,0.0,3.0,Faible
Reggie Williams,0.0,0.0,0.0,2.0,Faible
Richard Hamilton,0.0,0.0,0.0,1.0,Faible
Richard Jefferson,0.0,0.0,0.0,3.0,Faible
Richaun Holmes,0.0,0.0,0.0,2.0,Faible
Ricky Rubio,0.5,0.2,0.28571428571428575,5.0,Faible
Robert Covington,1.0,0.2,0.33333333333333337,5.0,Fort
Robert Sacre,0.0,0.0,0.0,2.0,Faible
Robert Williams III,0.0,0.0,0.0,2.0,Faible
Robin Lopez,1.0,0.25,0.4,4.0,Fort
Rodions Kurucs,0.0,0.0,0.0,1.0,Faible
Rodney Hood,0.0,0.0,0.0,2.0,Faible
Rodney McGruder,0.0,0.0,0.0,4.0,Faible
Rodney Purvis,0.0,0.0,0.0,1.0,Faible
Rodney Stuckey,0.0,0.0,0.0,4.0,Faible
Roger Mason Jr.,0.0,0.0,0.0,1.0,Faible
Romeo Langford,0.0,0.0,0.0,2.0,Faible
