,precision,recall,f1-score,support,Groupe
Bismack Biyombo,0.0,0.0,0.0,1.0,Faible
Blake Griffin,0.06666666666666667,0.3333333333333333,0.1111111111111111,3.0,Faible
Blake Wesley,0.0,0.0,0.0,0.0,Faible
Boban Marjanovic,0.4,0.6666666666666666,0.5,3.0,Faible
Bobby Brown,0.0,0.0,0.0,1.0,Faible
Bobby Portis,0.0,0.0,0.0,2.0,Faible
Bogdan Bogdanovic,0.0,0.0,0.0,1.0,Faible
Bojan Bogdanovic,0.2,1.0,0.33333333333333337,2.0,Faible
Bol Bol,0.0,0.0,0.0,1.0,Faible
Bonzie Colson,0.0,0.0,0.0,0.0,Faible
Boris Diaw,0.5,0.5,0.5,2.0,Faible
Brad Wanamaker,0.0,0.0,0.0,1.0,Faible
Bradley Beal,0.1,0.5,0.16666666666666669,2.0,Faible
Brandan Wright,0.16666666666666666,1.0,0.2857142857142857,1.0,Faible
Branden Dawson,0.0,0.0,0.0,0.0,Faible
Brandon Bass,0.0,0.0,0.0,0.0,Faible
Brandon Boston Jr.,0.0,0.0,0.0,1.0,Faible
Brandon Clarke,0.0,0.0,0.0,2.0,Faible
Brandon Davies,0.0,0.0,0.0,0.0,Faible
Brandon Goodwin,0.0,0.0,0.0,0.0,Faible
Brandon Ingram,0.5,0.2,0.28571428571428575,5.0,Faible
Brandon Jennings,0.0,0.0,0.0,1.0,Faible
Brandon Knight,0.0,0.0,0.0,2.0,Faible
Brandon Paul,0.0,0.0,0.0,0.0,Faible
Brandon Rush,0.0,0.0,0.0,2.0,Faible
Brandon Sampson,0.0,0.0,0.0,0.0,Faible
Brandon Williams,0.0,0.0,0.0,0.0,Faible
Braxton Key,0.0,0.0,0.0,0.0,Faible
Brian Bowen II,0.0,0.0,0.0,1.0,Faible
Brian Roberts,0.25,1.0,0.4,1.0,Faible
Briante Weber,0.0,0.0,0.0,0.0,Faible
Brice Johnson,0.0,0.0,0.0,0.0,Faible
Brodric Thomas,0.0,0.0,0.0,1.0,Faible
Brook Lopez,0.25,0.5,0.3333333333333333,4.0,Faible
Bruce Brown,0.0,0.0,0.0,2.0,Faible
Bruno Caboclo,0.0,0.0,0.0,1.0,Faible
Bruno Fernando,0.0,0.0,0.0,2.0,Faible
Bryce Cotton,0.0,0.0,0.0,1.0,Faible
Bryce Dejean-Jones,0.0,0.0,0.0,1.0,Faible
Bryce McGowens,0.0,0.0,0.0,0.0,Faible
Bryn Forbes,0.0,0.0,0.0,0.0,Faible
Buddy Boeheim,0.0,0.0,0.0,1.0,Faible
Buddy Hield,0.2,1.0,0.33333333333333337,2.0,Faible
Byron Mullens,0.0,0.0,0.0,1.0,Faible
C.J. Watson,0.0,0.0,0.0,3.0,Faible
C.J. Wilcox,0.0,0.0,0.0,0.0,Faible
CJ Elleby,0.0,0.0,0.0,1.0,Faible
CJ McCollum,0.0,0.0,0.0,4.0,Faible
CJ Miles,0.0,0.0,0.0,3.0,Faible
Cade Cunningham,0.0,0.0,0.0,0.0,Faible
Caleb Houstan,0.0,0.0,0.0,1.0,Faible
Caleb Martin,0.0,0.0,0.0,0.0,Faible
Caleb Swanigan,0.0,0.0,0.0,0.0,Faible
Cam Reddish,0.0,0.0,0.0,3.0,Faible
Cam Reynolds,0.0,0.0,0.0,0.0,Faible
Cam Thomas,0.0,0.0,0.0,2.0,Faible
Cameron Bairstow,0.0,0.0,0.0,0.0,Faible
Cameron Johnson,0.0,0.0,0.0,2.0,Faible
Cameron McGriff,0.0,0.0,0.0,0.0,Faible
Cameron Oliver,0.0,0.0,0.0,0.0,Faible
Cameron Payne,0.0,0.0,0.0,1.0,Faible
Caris LeVert,0.14285714285714285,0.5,0.22222222222222224,2.0,Faible
Carl Landry,0.0,0.0,0.0,2.0,Faible
Carlik Jones,0.0,0.0,0.0,1.0,Faible
Carlos Boozer,0.0,0.0,0.0,0.0,Faible
Carlos Delfino,0.0,0.0,0.0,1.0,Faible
Carmelo Anthony,0.0,0.0,0.0,4.0,Faible
Caron Butler,0.0,0.0,0.0,1.0,Faible
Carrick Felix,0.0,0.0,0.0,1.0,Faible
Carsen Edwards,0.0,0.0,0.0,2.0,Faible
Cartier Martin,0.0,0.0,0.0,1.0,Faible
Casper Ware,0.0,0.0,0.0,0.0,Faible
Cassius Stanley,0.0,0.0,0.0,1.0,Faible
Cassius Winston,0.0,0.0,0.0,0.0,Faible
