Player,PTS,Level
Carl Landry,451.0,Moyen
Carlik Jones,12.0,
Carlos Boozer,1053.0,Élevé
Carlos Delfino,708.0,Élevé
Carmelo Anthony,1236.3,Élevé
Caron Butler,480.75,Moyen
Carrick Felix,19.0,
Carsen Edwards,89.0,Faible
Cartier Martin,211.66666666666663,Moyen
Casper Ware,48.0,Faible
Cassius Stanley,44.0,
Cassius Winston,27.5,
Cat Barber,0.0,
Cedi Osman,656.3333333333334,Élevé
Chance Comanche,7.0,
Chandler Hutchison,139.5,Faible
Chandler Parsons,621.5,Élevé
Channing Frye,492.1666666666667,Élevé
Charles Bassey,134.0,Faible
Charles Cooke,6.0,
Charles Jenkins,111.0,Faible
Charlie Brown Jr.,30.0,
Charlie Villanueva,320.25,Moyen
Chase Budinger,304.5,Moyen
Chasson Randle,169.75,Faible
Chauncey Billups,128.0,Faible
Chaundee Brown Jr.,31.0,
Cheick Diallo,191.6,Faible
Chima Moneke,2.0,
Chimezie Metu,238.0,Moyen
Chinanu Onuaku,9.0,
Chris Andersen,227.4,Moyen
Chris Babb,22.0,
Chris Bosh,1112.75,Élevé
Chris Boucher,464.6666666666667,Moyen
Chris Chiozza,75.75,Faible
Chris Clemons,161.0,Faible
Chris Copeland,249.5,Moyen
Chris Douglas-Roberts,125.0,Faible
Chris Duarte,541.0,Élevé
Chris Duhon,133.0,Faible
Chris Johnson,153.4,Faible
Chris Kaman,444.75,Moyen
Chris McCullough,64.66666666666667,Faible
Chris Paul,1148.1818181818182,Élevé
Chris Quinn,10.0,
Chris Silva,48.25,Faible
Chris Singleton,153.0,Faible
Chris Smith,0.0,
Chris Wilcox,259.0,Moyen
Chris Wright,25.0,
Christian Braun,360.0,Moyen
Christian Koloko,182.0,Faible
Christian Wood,610.0,Élevé
Chuck Hayes,96.0,Faible
Chuma Okeke,360.6666666666667,Moyen
Cleanthony Early,120.5,Faible
Cliff Alexander,10.0,
Clint Capela,736.6666666666666,Élevé
Coby White,846.75,Élevé
Cody Martin,256.0,Moyen
Cody Zeller,430.0,Moyen
Cole Aldrich,162.5,Faible
Cole Anthony,816.0,Élevé
Cole Swider,9.0,
Collin Sexton,1008.2,Élevé
Corey Brewer,550.25,Élevé
Corey Kispert,727.0,Élevé
Corey Maggette,95.0,Faible
Cory Higgins,14.0,
Cory Jefferson,102.5,Faible
Cory Joseph,502.7272727272728,Élevé
Coty Clarke,6.0,
Courtney Lee,612.75,Élevé
Craig Sword,6.0,
Cristiano Felicio,179.66666666666666,Faible
D'Angelo Russell,1095.875,Élevé
D.J. Augustin,619.1,Élevé
D.J. Wilson,129.4,Faible
DJ Stephens,4.5,
DJ White,14.5,
DaJuan Summers,2.0,
DaQuan Jeffries,59.66666666666666,Faible
Daequan Cook,137.0,Faible
Dahntay Jones,76.25,Faible
Dairis Bertans,34.0,
Daishen Nix,151.5,Faible
Dakari Johnson,55.0,Faible
Dakota Mathias,27.0,
Dalano Banton,173.5,Faible
Dalen Terry,85.0,Faible
Damian Jones,179.85714285714286,Faible
Damian Lillard,1761.4545454545455,Élevé
Damien Inglis,36.0,
Damien Wilkins,210.5,Moyen
Damion James,3.0,
Damion Lee,397.3333333333333,Moyen
Damjan Rudez,160.0,Faible
Damyean Dotson,318.8,Moyen
Daniel Gafford,495.5,Élevé
Daniel Gibson,250.0,Moyen
Daniel Hamilton,34.5,
Daniel Ochefu,24.0,
Daniel Orton,49.0,Faible
Daniel Oturu,31.5,
Daniel Theis,394.3333333333333,Moyen
Danilo Gallinari,926.4444444444443,Élevé
Danny Granger,184.33333333333331,Faible
Danny Green,592.7272727272727,Élevé
Dante Cunningham,439.2857142857143,Moyen
Dante Exum,231.5,Moyen
Danuel House Jr.,287.2857142857143,Moyen
Dario Saric,757.0,Élevé
Darius Bazley,516.25,Élevé
Darius Days,15.0,
Darius Garland,1158.0,Élevé
Darius Johnson-Odom,0.0,
Darius Miller,266.1666666666667,Moyen
Darius Morris,128.0,Faible
Darko Milicic,0.0,
Darrell Arthur,331.3333333333333,Moyen
Darren Collison,781.875,Élevé
Darrun Hilliard,98.33333333333331,Faible
Daryl Macon,16.0,
David Duke Jr.,94.5,Faible
David Johnson,0.0,
David Lee,821.4,Élevé
David Nwaba,270.3333333333333,Moyen
David Roddy,466.0,Moyen
David Stockton,9.0,
David Wear,0.0,
David West,750.3333333333334,Élevé
Davion Mitchell,655.5,Élevé
Davis Bertans,481.57142857142856,Moyen
Davon Reed,93.25,Faible
Day'Ron Sharpe,212.5,Moyen
De'Aaron Fox,1329.0,Élevé
De'Andre Hunter,715.0,Élevé
De'Anthony Melton,549.6,Élevé
DeAndre Jordan,683.2727272727273,Élevé
DeAndre Liggins,78.25,Faible
DeAndre' Bembry,291.6666666666667,Moyen
DeJon Jarreau,0.0,
DeJuan Blair,235.5,Moyen
DeMar DeRozan,1687.1818181818182,Élevé
DeMarcus Cousins,1166.5555555555557,Élevé
DeMarre Carroll,603.0,Élevé
DeQuan Jones,233.0,Moyen
DeSagana Diop,16.0,
DeShawn Stevenson,284.0,Moyen
DeVaughn Akoon-Purcell,7.0,
Dean Wade,217.75,Moyen
Deandre Ayton,1009.2,Élevé
Deividas Sirvydis,22.0,
Dejounte Murray,918.0,Élevé
Delon Wright,415.125,Moyen
Demetrius Jackson,16.0,
Deng Adel,32.0,
Deni Avdija,574.6666666666666,Élevé
Dennis Schroder,963.6,Élevé
Dennis Smith Jr.,465.1666666666667,Moyen
Denzel Valentine,359.0,Moyen
Deonte Burton,62.0,Faible
Derek Fisher,300.0,Moyen
Dereon Seabron,4.0,
Deron Williams,978.8,Élevé
Derrick Favors,725.1,Élevé
Derrick Jones Jr.,307.42857142857144,Moyen
Derrick Rose,652.4,Élevé
Derrick Walton Jr.,33.666666666666664,
Derrick White,674.0,Élevé
Derrick Williams,537.6666666666666,Élevé
Desmond Bane,1085.3333333333333,Élevé
Devin Booker,1586.0,Élevé
Devin Cannady,42.0,
Devin Ebanks,65.0,Faible
Devin Harris,500.57142857142856,Élevé
Devin Robinson,24.5,
Devin Vassell,638.6666666666666,Élevé
Devon Dotson,18.33333333333333,
Devon Hall,20.0,
Devontae Cacok,30.33333333333333,
Devonte' Graham,723.8,Élevé
Devyn Marble,48.5,Faible
Dewan Hernandez,14.0,
Dewayne Dedmon,325.5,Moyen
Dexter Pittman,4.0,
Deyonta Davis,151.33333333333334,Faible
Diamond Stone,10.0,
Diante Garrett,144.0,Faible
Didi Louzada,21.5,
Dillon Brooks,833.6666666666666,Élevé
Dion Waiters,688.125,Élevé
Dionte Christmas,71.0,Faible
Dirk Nowitzki,1060.857142857143,Élevé
Domantas Sabonis,1067.2857142857142,Élevé
Dominic McGuire,51.0,Faible
Dominick Barlow,110.0,Faible
Dominique Jones,116.0,Faible
Donald Sloan,251.5,Moyen
Donatas Motiejunas,305.3333333333333,Moyen
Donovan Mitchell,1692.6666666666667,Élevé
Donovan Williams,4.0,
Donta Hall,56.0,Faible
Donte DiVincenzo,497.4,Élevé
Donte Grantham,0.0,
Dorell Wright,430.3333333333333,Moyen
Dorian Finney-Smith,540.0,Élevé
Doron Lamb,172.5,Faible
Doug McDermott,611.1111111111111,Élevé
Dragan Bender,253.5,Moyen
Draymond Green,597.9090909090909,Élevé
Drew Eubanks,304.6,Moyen
Drew Gooden,148.5,Faible
Drew Gordon,17.0,
Dru Smith,44.0,
Duane Washington Jr.,358.5,Moyen
Duje Dukan,6.0,
Duncan Robinson,621.2,Élevé
Dusty Hannahs,10.0,
Dwayne Bacon,375.75,Moyen
Dwight Buycks,103.33333333333331,Faible
Dwight Howard,805.0,Élevé
Dwight Powell,492.44444444444446,Élevé
Dwyane Wade,1167.857142857143,Élevé
Dylan Windler,92.0,Faible
Dyson Daniels,227.0,Moyen
Dzanan Musa,105.5,Faible
E'Twaun Moore,514.7777777777778,Élevé
Earl Barron,35.5,
Earl Clark,237.33333333333331,Moyen
Earl Watson,54.0,Faible
Ed Davis,337.5,Moyen
Eddy Curry,9.0,
Edmond Sumner,199.4,Faible
Edy Tavares,16.5,
Ekpe Udoh,155.4,Faible
Elfrid Payton,629.5,Élevé
Elias Harris,0.0,
Elie Okobo,261.5,Moyen
Elijah Bryant,16.0,
Elijah Hughes,78.5,Faible
Elijah Millsap,95.66666666666669,Faible
Elliot Williams,149.66666666666666,Faible
Elton Brand,275.75,Moyen
Emanuel Terry,5.0,
Emeka Okafor,439.5,Moyen
Emmanuel Mudiay,549.8333333333334,Élevé
Enes Freedom,804.5,Élevé
Eric Bledsoe,967.3,Élevé
Eric Gordon,853.6363636363636,Élevé
Eric Maynor,186.5,Faible
Eric Mika,6.0,
Eric Moreland,40.0,
Eric Paschall,517.3333333333334,Élevé
Erick Green,79.5,Faible
Erik McCree,0.0,
Erik Murphy,6.0,
Ersan Ilyasova,641.0,Élevé
Eugene Omoruyi,142.5,Faible
Evan Fournier,853.3636363636364,Élevé
Evan Mobley,1155.5,Élevé
Evan Turner,706.125,Élevé
Fab Melo,7.0,
Facundo Campazzo,246.0,Moyen
Feron Hunt,0.0,
Festus Ezeli,237.33333333333331,Moyen
Francisco Garcia,227.0,Moyen
Frank Jackson,363.2,Moyen
Frank Kaminsky,453.75,Moyen
Frank Mason III,173.75,Faible
Frank Ntilikina,255.0,Moyen
Franz Wagner,1341.0,Élevé
Fred VanVleet,870.0,Élevé
Freddie Gillespie,66.0,Faible
Furkan Aldemir,93.0,Faible
Furkan Korkmaz,359.3333333333333,Moyen
Gabe Vincent,374.0,Moyen
Gabe York,16.0,
Gabriel Deck,51.0,Faible
Gabriel Lundberg,13.0,
Gal Mekel,39.5,
Garrett Temple,386.1818181818182,Moyen
Garrison Mathews,339.75,Moyen
Gary Clark,131.0,Faible
Gary Harris,658.1111111111111,Élevé
Gary Neal,426.0,Moyen
Gary Payton II,120.14285714285714,Faible
Gary Trent Jr.,780.0,Élevé
George Hill,616.1818181818181,Élevé
George King,0.5,
Georges Niang,356.2857142857143,Moyen
Georgios Kalaitzakis,86.0,Faible
Georgios Papagiannis,80.0,Faible
Gerald Green,664.2857142857143,Élevé
Gerald Henderson,878.2,Élevé
Gerald Wallace,288.0,Moyen
Gian Clavell,20.0,
Giannis Antetokounmpo,1628.0,Élevé
Gigi Datome,94.0,Faible
Glen Davis,482.3333333333333,Moyen
Glen Rice,21.5,
Glenn Robinson III,257.7142857142857,Moyen
Goga Bitadze,229.75,Moyen
Goran Dragic,944.4545454545456,Élevé
Gordon Hayward,1001.5454545454544,Élevé
Gorgui Dieng,459.1,Moyen
Grant Hill,93.0,Faible
Grant Jerrett,16.0,
Grant Riller,18.0,
Grant Williams,443.5,Moyen
Grayson Allen,511.2,Élevé
Greg Brown III,126.5,Faible
Greg Monroe,829.5,Élevé
