Player,PTS,Level
Kai Jones,89.5,Faible
Kalin Lucas,1.0,
Karim Mane,11.0,
Karl-Anthony Towns,1471.5,Élevé
Kawhi Leonard,1181.7,Élevé
Kay Felder,111.5,Faible
Keegan Murray,976.0,Élevé
Keifer Sykes,180.0,Faible
Keita Bates-Diop,300.0,Moyen
Keith Appling,6.0,
Keith Bogans,161.5,Faible
Kelan Martin,175.0,Faible
Keldon Johnson,924.5,Élevé
Keljin Blevins,53.5,Faible
Kelly Olynyk,699.3,Élevé
Kelly Oubre Jr.,842.625,Élevé
Kemba Walker,1244.2727272727273,Élevé
Kendall Brown,9.0,
Kendall Marshall,200.5,Faible
Kendrick Nunn,778.6666666666666,Élevé
Kendrick Perkins,176.2,Faible
Kennedy Chandler,78.0,Faible
Kenneth Faried,708.4285714285714,Élevé
Kenneth Lofton Jr.,120.0,Faible
Kenrich Williams,345.8,Moyen
Kent Bazemore,541.4,Élevé
Kentavious Caldwell-Pope,873.3,Élevé
Kenyon Martin,95.33333333333331,Faible
Keon Ellis,24.0,
Keon Johnson,228.0,Moyen
Kessler Edwards,192.0,Faible
Kevin Durant,1691.4,Élevé
Kevin Garnett,450.25,Moyen
Kevin Hervey,17.0,
Kevin Huerter,853.0,Élevé
Kevin Jones,95.0,Faible
Kevin Knox II,410.6,Moyen
Kevin Love,924.0909090909092,Élevé
Kevin Martin,917.0,Élevé
Kevin Murphy,15.0,
Kevin Pangos,39.0,
Kevin Porter Jr.,752.0,Élevé
Kevin Seraphin,381.8,Moyen
Kevon Harris,141.0,Faible
Kevon Looney,287.375,Moyen
Keyon Dooling,31.0,
Khem Birch,233.66666666666663,Moyen
Khris Middleton,1057.5454545454545,Élevé
Khyri Thomas,53.333333333333336,Faible
Killian Hayes,471.6666666666667,Moyen
Killian Tillie,87.5,Faible
Kim English,119.0,Faible
Kira Lewis Jr.,199.33333333333331,Faible
Kirk Hinrich,409.75,Moyen
Klay Thompson,1481.111111111111,Élevé
Kobe Bryant,1039.75,Élevé
Kobi Simmons,67.0,Faible
Kosta Koufos,459.0,Moyen
Kostas Antetokounmpo,7.0,
Kostas Papanikolaou,124.5,Faible
Kris Dunn,326.42857142857144,Moyen
Kris Humphries,412.6,Moyen
Kris Joseph,9.0,
Kristaps Porzingis,1125.142857142857,Élevé
Kurt Thomas,97.0,Faible
Kwame Brown,41.0,
Ky Bowman,335.0,Moyen
Kyle Alexander,2.0,
Kyle Anderson,445.8888888888889,Moyen
Kyle Collinsworth,101.0,Faible
Kyle Guy,55.0,Faible
Kyle Korver,705.75,Élevé
Kyle Kuzma,1115.5,Élevé
Kyle Lowry,1090.8181818181818,Élevé
Kyle O'Quinn,321.0,Moyen
Kyle Singler,387.6666666666667,Moyen
Kyle Wiltjer,13.0,
Kyrie Irving,1342.5454545454545,Élevé
LaMarcus Aldridge,1282.0,Élevé
LaMelo Ball,1049.6666666666667,Élevé
Lamar Odom,330.0,Moyen
Lamar Patterson,46.5,Faible
Lamar Stevens,292.0,Moyen
Lance Stephenson,574.375,Élevé
Lance Thomas,235.5,Moyen
Landry Fields,118.0,Faible
Landry Shamet,540.0,Élevé
Langston Galloway,457.0,Moyen
Larry Drew II,31.5,
Larry Nance Jr.,456.375,Moyen
Larry Sanders,268.5,Moyen
Lauri Markkanen,1005.0,Élevé
Lavoy Allen,335.6,Moyen
Lazar Hayward,10.0,
LeBron James,1782.4545454545455,Élevé
Leandro Barbosa,336.8,Moyen
Leandro Bolmaro,28.0,
Lester Hudson,18.0,
Lester Quinones,10.0,
Linas Kleiza,148.0,Faible
Lindell Wigginton,65.0,Faible
Lindy Waters III,206.5,Faible
London Perrantes,7.0,
Lonnie Walker IV,521.2,Élevé
Lonzo Ball,599.0,Élevé
Lorenzo Brown,58.6,Faible
Lou Amundson,106.25,Faible
Lou Williams,1043.5,Élevé
Louis King,32.25,
Luc Mbah a Moute,308.875,Moyen
Lucas Nogueira,111.5,Faible
Luguentz Dort,715.75,Élevé
Luis Montero,7.0,
Luis Scola,657.0,Élevé
Luka Doncic,1820.0,Élevé
Luka Garza,183.5,Faible
Luka Samanic,69.0,Faible
Luke Babbitt,263.3333333333333,Moyen
Luke Kennard,585.3333333333334,Élevé
Luke Kornet,178.0,Faible
Luke Ridnour,477.6666666666667,Moyen
Luke Walton,172.0,Faible
Luke Zeller,19.0,
Luol Deng,678.5714285714286,Élevé
MJ Walker,0.0,
Maalik Wayns,39.0,
Mac McClung,16.5,
Malachi Flynn,262.6666666666667,Moyen
Malachi Richardson,66.0,Faible
Malaki Branham,673.0,Élevé
Malcolm Brogdon,879.8571428571429,Élevé
Malcolm Delaney,364.5,Moyen
Malcolm Hill,38.5,
Malcolm Lee,39.0,
Malcolm Miller,36.0,
Malcolm Thomas,25.0,
Malik Beasley,644.7142857142857,Élevé
Malik Fitts,12.0,
Malik Monk,702.8333333333334,Élevé
Malik Newman,5.0,
Mamadi Diakite,52.333333333333336,Faible
Mangok Mathiang,8.0,
Manny Harris,40.5,
Manu Ginobili,654.8333333333334,Élevé
MarJon Beauchamp,266.0,Moyen
MarShon Brooks,221.0,Moyen
Marc Gasol,958.6666666666666,Élevé
Marcelo Huertas,150.0,Faible
Marcin Gortat,795.2857142857143,Élevé
Marco Belinelli,727.25,Élevé
Marcus Camby,42.0,
Marcus Derrickson,46.0,
Marcus Garrett,13.0,
Marcus Georges-Hunt,36.5,
Marcus Morris Sr.,873.5454545454545,Élevé
Marcus Paige,12.0,
Marcus Smart,682.3333333333334,Élevé
Marcus Thornton,561.6,Élevé
Marial Shayok,11.0,
Mario Chalmers,666.0,Élevé
Mario Hezonja,456.8,Moyen
Mark Williams,387.0,Moyen
Markel Brown,194.66666666666663,Faible
Markelle Fultz,376.6666666666667,Moyen
Markieff Morris,680.6363636363636,Élevé
Marko Guduric,173.0,Faible
Marko Simonovic,11.5,
Markus Howard,115.5,Faible
Marques Bolden,3.5,
Marquese Chriss,367.6666666666667,Moyen
Marquis Daniels,324.0,Moyen
Marquis Teague,72.33333333333333,Faible
Marreese Speights,597.0,Élevé
Marshall Plumlee,27.0,
Martell Webster,578.0,Élevé
Marvin Bagley III,552.0,Élevé
Marvin Williams,668.625,Élevé
Mason Jones,97.5,Faible
Mason Plumlee,634.1,Élevé
Matisse Thybulle,308.0,Moyen
Matt Barnes,699.2,Élevé
Matt Bonner,206.25,Faible
Matt Carroll,0.0,
Matt Costello,4.0,
Matt Mooney,1.0,
Matt Ryan,62.5,Faible
Matt Thomas,167.33333333333334,Faible
Matt Williams Jr.,5.0,
Matthew Dellavedova,278.8888888888889,Moyen
Maurice Harkless,425.9,Moyen
Maurice Ndour,98.0,Faible
Max Christie,128.0,Faible
Max Strus,471.25,Moyen
Maxi Kleber,421.1666666666667,Moyen
McKinley Wright IV,59.5,Faible
Melvin Ely,6.0,
Melvin Frazier Jr.,29.0,
Metta World Peace,325.25,Moyen
Meyers Leonard,254.5,Moyen
Mfiondu Kabengele,47.66666666666666,Faible
Micah Potter,18.0,
Michael Beasley,478.1428571428572,Moyen
Michael Carter-Williams,448.8888888888889,Moyen
Michael Foster Jr.,0.0,
Michael Frazier II,27.0,
Michael Gbinije,4.0,
Michael Kidd-Gilchrist,468.75,Moyen
Michael Porter Jr.,710.75,Élevé
Mickael Gelabale,181.0,Faible
Mickael Pietrus,100.0,Faible
Mikal Bridges,1030.8,Élevé
Mike Conley,979.2727272727273,Élevé
Mike Dunleavy,561.2,Élevé
Mike Harris,84.0,Faible
Mike James,180.0,Faible
Mike Miller,212.0,Moyen
Mike Muscala,304.9,Moyen
Mike Scott,415.1111111111111,Moyen
Mike Tobey,2.0,
Miles Bridges,973.25,Élevé
Miles McBride,155.5,Faible
Miles Plumlee,242.42857142857144,Moyen
Milos Teodosic,238.5,Moyen
Milton Doyle,34.0,
Mindaugas Kuzminskas,212.5,Moyen
Miroslav Raduljica,94.5,Faible
Mirza Teletovic,439.3333333333333,Moyen
Mitch McGary,113.5,Faible
Mitchell Creek,21.0,
Mitchell Robinson,475.2,Moyen
Miye Oni,48.333333333333336,Faible
Mo Bamba,414.0,Moyen
Mo Williams,653.75,Élevé
Monta Ellis,1280.2,Élevé
Monte Morris,597.1666666666666,Élevé
Montrezl Harrell,777.5,Élevé
Moritz Wagner,414.8,Moyen
Moses Brown,176.75,Faible
Moses Moody,265.0,Moyen
Moses Wright,5.0,
Moussa Diabate,59.0,Faible
Mustafa Shakur,1.0,
Mychal Mulder,161.0,Faible
Myke Henry,107.0,Faible
Myles Powell,13.0,
Myles Turner,824.75,Élevé
Naji Marshall,419.0,Moyen
Nando De Colo,226.5,Moyen
Nassir Little,290.25,Moyen
Nate Darling,9.0,
Nate Hinton,20.5,
Nate Robinson,442.25,Moyen
Nate Williams,53.0,Faible
Nate Wolters,153.66666666666666,Faible
Nathan Knight,133.66666666666666,Faible
Naz Mitrou-Long,11.0,
Naz Reid,617.75,Élevé
Nazr Mohammed,81.25,Faible
Neemias Queta,28.5,
Nemanja Bjelica,487.4285714285714,Moyen
Nemanja Nedovic,26.0,
Nene,554.5714285714286,Élevé
Nerlens Noel,370.8888888888889,Moyen
Nic Claxton,412.25,Moyen
Nick Calathes,295.0,Moyen
Nick Collison,201.66666666666663,Faible
Nick Johnson,74.0,Faible
Nick Richards,232.33333333333331,Moyen
Nick Young,586.8571428571429,Élevé
Nickeil Alexander-Walker,457.5,Moyen
Nico Mannion,123.0,Faible
Nicolas Batum,728.9090909090909,Élevé
Nicolas Brussino,75.0,Faible
Nicolas Laprovittola,59.0,Faible
Nicolo Melli,264.5,Moyen
Nigel Hayes,27.0,
Nigel Williams-Goss,14.0,
Nik Stauskas,381.6666666666667,Moyen
Nikola Jokic,1506.75,Élevé
Nikola Jovic,82.0,Faible
Nikola Mirotic,782.0,Élevé
Nikola Pekovic,598.75,Élevé
Nikola Vucevic,1247.0,Élevé
Noah Vonleh,210.625,Moyen
Nolan Smith,110.0,Faible
Norman Powell,724.375,Élevé
Norris Cole,413.0,Moyen
Norvel Pelle,27.666666666666668,
O.J. Mayo,747.5,Élevé
OG Anunoby,711.3333333333334,Élevé
Obi Toppin,466.0,Moyen
Ochai Agbaji,467.0,Moyen
Ognjen Kuzmic,17.5,
Okaro White,39.333333333333336,
Olivier Sarr,94.5,Faible
Omari Johnson,22.0,
Omari Spellman,321.0,Moyen
Omer Asik,340.8333333333333,Moyen
Omer Yurtseven,169.5,Faible
Omri Casspi,397.2857142857143,Moyen
Onyeka Okongwu,470.3333333333333,Moyen
Orlando Johnson,109.66666666666669,Faible
Orlando Robinson,116.0,Faible
Oshae Brissett,319.25,Moyen
Othyus Jeffers,9.0,
Otto Porter Jr.,538.0,Élevé
Ousmane Dieng,193.0,Faible
P.J. Tucker,524.7272727272727,Élevé
P.J. Washington,836.5,Élevé
PJ Dozier,115.5,Faible
PJ Hairston,332.0,Moyen
Pablo Prigioni,236.5,Moyen
Paolo Banchero,1437.0,Élevé
Paris Bass,6.0,
Pascal Siakam,1144.2857142857142,Élevé
Pat Connaughton,366.875,Moyen
Patricio Garino,0.0,
Patrick Baldwin Jr.,122.0,Faible
Patrick Beverley,460.8181818181818,Moyen
Patrick Christopher,6.0,
Patrick McCaw,152.0,Faible
Patrick Patterson,440.44444444444446,Moyen
Patrick Williams,547.0,Élevé
Patty Mills,656.5454545454545,Élevé
Pau Gasol,861.7142857142857,Élevé
Paul George,1371.5454545454545,Élevé
Paul Millsap,895.8,Élevé
Paul Pierce,761.2,Élevé
Paul Reed,163.66666666666666,Faible
Paul Watson,57.66666666666666,Faible
Paul Zipser,229.0,Moyen
Payton Pritchard,407.3333333333333,Moyen
Pero Antic,354.0,Moyen
Perry Jones III,162.66666666666666,Faible
Petr Cornelie,14.0,
Peyton Siva,54.0,Faible
Peyton Watson,75.0,Faible
Phil Pressey,155.66666666666666,Faible
Pierre Jackson,35.0,
Precious Achiuwa,492.0,Élevé
Quentin Grimes,537.0,Élevé
Quentin Richardson,5.0,
Quenton Jackson,56.0,Faible
Quincy Acy,234.57142857142856,Moyen
Quincy Miller,98.33333333333331,Faible
Quincy Pondexter,230.0,Moyen
Quinn Cook,240.0,Moyen
Quinndary Weatherspoon,29.33333333333333,
R.J. Hampton,381.6666666666667,Moyen
RJ Barrett,1225.0,Élevé
RJ Hunter,33.25,
RJ Nembhard Jr.,15.0,
RaiQuan Gray,16.0,
Rajon Rondo,460.8,Moyen
Rakeem Christmas,31.5,
Ramon Sessions,592.8333333333334,Élevé
Randy Foye,643.2,Élevé
Rashad Vaughn,141.0,Faible
Rashard Lewis,276.5,Moyen
Rasheed Wallace,146.0,Faible
Rasual Butler,280.0,Moyen
Raul Neto,308.75,Moyen
Rawle Alkins,37.0,
Ray Allen,782.0,Élevé
Ray McCallum,306.6666666666667,Moyen
Ray Spalding,29.0,
Rayjon Tucker,39.0,
Raymond Felton,527.7142857142857,Élevé
Reggie Bullock Jr.,394.3,Moyen
Reggie Evans,251.0,Moyen
Reggie Hearn,3.0,
Reggie Jackson,885.0909090909091,Élevé
Reggie Perry,85.0,Faible
Reggie Williams,55.25,Faible
Richard Hamilton,490.0,Élevé
Richard Jefferson,387.8333333333333,Moyen
Richaun Holmes,466.875,Moyen
Ricky Ledo,54.5,Faible
Ricky Rubio,648.5454545454545,Élevé
Rob Edwards,3.0,
Robbie Hummel,189.5,Faible
Robert Covington,651.0,Élevé
Robert Franks,43.0,
Robert Sacre,196.75,Faible
Robert Williams III,306.8,Moyen
Robert Woodard II,13.5,
Robin Lopez,628.0909090909091,Élevé
Rodions Kurucs,260.0,Moyen
Rodney Hood,582.0,Élevé
Rodney McGruder,260.7142857142857,Moyen
Rodney Purvis,96.0,Faible
Rodney Stuckey,716.4,Élevé
Rodrigue Beaubois,181.0,Faible
Roger Mason Jr.,221.5,Moyen
Romeo Langford,162.5,Faible
Ron Baker,100.0,Faible
Ron Harper Jr.,20.0,
Rondae Hollis-Jefferson,460.0,Moyen
Ronnie Brewer,93.0,Faible
Ronnie Price,149.0,Faible
Ronny Turiaf,90.0,Faible
Roy Hibbert,662.4,Élevé
Royal Ivey,85.0,Faible
Royce O'Neale,492.6666666666667,Élevé
Royce White,0.0,
Rudy Gay,891.1818181818181,Élevé
Rudy Gobert,853.1,Élevé
Rui Hachimura,655.0,Élevé
Russ Smith,26.5,
Russell Westbrook,1684.3636363636365,Élevé
Ryan Anderson,670.75,Élevé
Ryan Arcidiacono,171.83333333333334,Faible
Ryan Broekhoff,119.0,Faible
Ryan Gomes,6.0,
Ryan Hollins,152.0,Faible
Ryan Kelly,245.25,Moyen
Ryan Rollins,23.0,
Saben Lee,208.66666666666663,Moyen
Saddiq Bey,1080.0,Élevé
Salah Mejri,173.25,Faible
Sam Dekker,218.8,Moyen
Sam Hauser,288.5,Moyen
Sam Merrill,46.333333333333336,Faible
Sam Young,155.0,Faible
Samardo Samuels,58.0,Faible
Samuel Dalembert,323.3333333333333,Moyen
Sandro Mamukelashvili,208.5,Moyen
Santi Aldama,414.0,Moyen
Sasha Kaun,23.0,
Sasha Pavlovic,103.0,Faible
Sasha Vujacic,141.66666666666666,Faible
Scott Machado,9.0,
Scottie Barnes,1156.5,Élevé
Scottie Lewis,1.0,
Scotty Hopson,2.0,
Scotty Pippen Jr.,14.0,
Sean Kilpatrick,404.0,Moyen
Sean McDermott,39.0,
Sebastian Telfair,232.5,Moyen
Sekou Doumbouya,180.66666666666663,Faible
Semaj Christon,183.0,Faible
Semi Ojeleye,195.0,Faible
Serge Ibaka,832.3636363636364,Élevé
Sergey Karasev,95.66666666666669,Faible
Sergio Rodriguez,530.0,Élevé
Seth Curry,534.0,Élevé
Shabazz Muhammad,500.8,Élevé
Shabazz Napier,405.5,Moyen
Shaedon Sharpe,789.0,Élevé
Shai Gilgeous-Alexander,1311.2,Élevé
Shake Milton,473.6,Moyen
Shamorie Ponds,9.0,
Shane Battier,385.0,Moyen
Shane Edwards,2.0,
Shane Larkin,349.75,Moyen
Shannon Brown,233.33333333333331,Moyen
Shaq Buchanan,2.0,
Shaquille Harrison,159.33333333333334,Faible
Sharife Cooper,7.0,
Shaun Livingston,433.7142857142857,Moyen
Shavlik Randolph,37.0,
Shawn Long,148.0,Faible
Shawn Marion,626.3333333333334,Élevé
Shawne Williams,271.5,Moyen
Shayne Whittington,34.0,
Sheldon Mac,90.0,Faible
Shelvin Mack,395.2857142857143,Moyen
Sim Bhullar,2.0,
Simone Fontecchio,328.0,Moyen
Sindarius Thornwell,100.25,Faible
Skal Labissiere,267.25,Moyen
Skylar Mays,98.66666666666669,Faible
Solomon Hill,272.55555555555554,Moyen
Solomon Jones,7.0,
Sonny Weems,107.0,Faible
Spencer Dinwiddie,712.3333333333334,Élevé
Spencer Hawes,612.0,Élevé
Stanley Johnson,350.75,Moyen
Stanley Umude,2.0,
Stanton Kidd,0.0,
Stephen Curry,1687.0,Élevé
Stephen Jackson,178.0,Faible
Stephen Zimmerman,23.0,
Sterling Brown,238.5,Moyen
Steve Blake,327.25,Moyen
Steve Nash,369.0,Moyen
Steve Novak,161.0,Faible
Steven Adams,651.8,Élevé
Svi Mykhailiuk,334.6,Moyen
T.J. Leaf,119.25,Faible
T.J. McConnell,493.625,Élevé
T.J. Warren,682.0,Élevé
Tacko Fall,27.33333333333333,
Tahjere McCall,4.0,
Taj Gibson,588.0,Élevé
Talen Horton-Tucker,478.5,Moyen
Tari Eason,760.0,Élevé
Tarik Black,268.75,Moyen
Tariq Owens,4.0,
Taurean Prince,627.4285714285714,Élevé
Tayshaun Prince,490.25,Élevé
Terance Mann,539.0,Élevé
Terence Davis,454.5,Moyen
Terrance Ferguson,231.0,Moyen
Terrel Harris,15.0,
Terrence Jones,405.1666666666667,Moyen
Terrence Ross,731.5454545454545,Élevé
Terrence Williams,110.0,Faible
Terry Rozier,921.0,Élevé
Terry Taylor,203.5,Faible
Thabo Sefolosha,349.0,Moyen
Thaddeus Young,868.5454545454545,Élevé
Thanasis Antetokounmpo,89.8,Faible
Theo Maledon,438.0,Moyen
Theo Pinson,69.2,Faible
Thomas Bryant,385.3333333333333,Moyen
Thomas Robinson,305.6,Moyen
Thomas Welsh,18.0,
Thon Maker,243.2,Moyen
Tiago Splitter,397.8,Moyen
Tibor Pleiss,24.0,
Tim Duncan,984.5,Élevé
Tim Frazier,176.5,Faible
Tim Hardaway Jr.,916.8,Élevé
Tim Ohlbrecht,3.0,
Tim Quarterman,17.5,
Timofey Mozgov,445.0,Moyen
Timothe Luwawu-Cabarrot,322.8333333333333,Moyen
Tobias Harris,1199.090909090909,Élevé
Tomas Satoransky,446.0,Moyen
Toney Douglas,287.0,Moyen
Tony Allen,503.3333333333333,Élevé
Tony Bradley,132.0,Faible
Tony Mitchell,14.0,
Tony Parker,842.4285714285714,Élevé
Tony Snell,408.0,Moyen
Tony Wroten,401.0,Moyen
Tornike Shengelia,29.5,
Torrey Craig,381.0,Moyen
Toure' Murry,73.0,Faible
Trae Young,1798.0,Élevé
Travis Outlaw,271.5,Moyen
Travis Wear,137.0,Faible
Trayvon Palmer,0.0,
Tre Jones,460.6666666666667,Moyen
Tre Mann,571.0,Élevé
Tremont Waters,49.66666666666666,Faible
Trendon Watford,411.5,Moyen
Trent Forrest,111.66666666666669,Faible
Trevelin Queen,32.0,
Treveon Graham,189.25,Faible
Trevon Duval,5.0,
Trevon Scott,6.0,
Trevor Ariza,709.2,Élevé
Trevor Booker,485.6666666666667,Moyen
Trevor Hudgins,9.0,
Trevor Keels,3.0,
Trey Burke,532.4444444444445,Élevé
Trey Lyles,508.125,Élevé
Trey McKinney-Jones,0.0,
Trey Murphy III,741.0,Élevé
Tristan Thompson,609.8,Élevé
Troy Brown Jr.,389.8,Moyen
Troy Caupain,10.0,
Troy Daniels,318.85714285714283,Moyen
Troy Murphy,65.0,Faible
Troy Williams,143.0,Faible
Ty Jerome,276.0,Moyen
Ty Lawson,900.6,Élevé
Ty-Shon Alexander,9.0,
TyTy Washington Jr.,145.0,Faible
Tyler Bey,18.0,
Tyler Cavanaugh,96.0,Faible
Tyler Cook,82.0,Faible
Tyler Davis,0.0,
Tyler Dorsey,236.66666666666663,Moyen
Tyler Ennis,194.75,Faible
Tyler Hall,0.0,
Tyler Hansbrough,313.5,Moyen
Tyler Herro,1068.0,Élevé
Tyler Honeycutt,8.0,
Tyler Johnson,433.625,Moyen
Tyler Lydon,11.5,
Tyler Ulis,332.6666666666667,Moyen
Tyler Zeller,359.125,Moyen
Tyreke Evans,835.4285714285714,Élevé
Tyrell Terry,6.5,
Tyrese Haliburton,1031.3333333333333,Élevé
Tyrese Martin,21.0,
Tyrese Maxey,1005.6666666666666,Élevé
Tyrone Wallace,141.5,Faible
Tyrus Thomas,64.5,Faible
Tyshawn Taylor,87.0,Faible
Tyson Chandler,414.5,Moyen
Tyus Jones,453.625,Moyen
Udoka Azubuike,73.66666666666667,Faible
Udonis Haslem,83.81818181818181,Faible
Usman Garuba,136.5,Faible
Vander Blue,10.0,
Vernon Carey Jr.,24.0,
Viacheslav Kravtsov,48.5,Faible
Vic Law,15.0,
Victor Claver,86.0,Faible
Victor Oladipo,850.3,Élevé
Vince Carter,574.125,Élevé
Vince Williams Jr.,30.0,
Vincent Edwards,3.0,
Vincent Hunter,6.0,
Vincent Poirier,24.5,
Vit Krejci,111.5,Faible
Vitor Faverani,164.0,Faible
Vladimir Radmanovic,33.0,
Vlatko Cancar,115.25,Faible
Wade Baldwin IV,58.0,Faible
Walker Kessler,679.0,Élevé
Walt Lemon Jr.,51.5,Faible
Wayne Ellington,496.4,Élevé
Wayne Selden,228.75,Moyen
Wendell Carter Jr.,668.8,Élevé
Wendell Moore Jr.,42.0,
Wenyen Gabriel,162.0,Faible
Wes Iwundu,197.8,Faible
Wesley Johnson,447.57142857142856,Moyen
Wesley Matthews,738.8181818181819,Élevé
Will Barton,693.1818181818181,Élevé
Will Bynum,381.0,Moyen
Will Cherry,15.0,
Will Conroy,1.0,
Will Magnay,0.0,
William Howard,0.0,
Willie Cauley-Stein,525.0,Élevé
Willie Green,343.0,Moyen
Willie Reed,250.33333333333331,Moyen
Willy Hernangomez,360.57142857142856,Moyen
Wilson Chandler,693.7142857142857,Élevé
Xavier Cooks,38.0,
Xavier Henry,215.33333333333331,Moyen
Xavier Moon,32.5,
Xavier Munford,41.5,
Xavier Rathan-Mayes,29.0,
Xavier Silas,0.0,
Xavier Sneed,11.0,
Xavier Tillman,357.0,Moyen
Yante Maten,2.0,
Yogi Ferrell,398.8,Moyen
Yuta Watanabe,155.6,Faible
Yves Pons,13.0,
Zach Collins,366.0,Moyen
Zach LaVine,1264.3333333333333,Élevé
Zach Lofton,0.0,
Zach Norvell Jr.,10.0,
Zach Randolph,1101.5,Élevé
Zavier Simpson,44.0,
Zaza Pachulia,433.7142857142857,Moyen
Zeke Nnaji,227.66666666666663,Moyen
Zhaire Smith,24.0,
Zhou Qi,12.0,
Ziaire Williams,355.5,Moyen
Zion Williamson,980.3333333333334,Élevé
Zoran Dragic,28.0,
Zylan Cheatham,6.0,
