Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
LAC,LAC vs. DEN,04/15/2014,W,240,117,44,83,53.0,9,24,37.5,20,30,66.7,7,34,41,29,11,4,15,21,12
BKN,BKN vs. NYK,04/15/2014,L,240,98,33,75,44.0,10,25,40.0,22,31,71.0,12,26,38,25,10,1,20,26,-11
NYK,NYK @ BKN,04/15/2014,W,240,109,32,67,47.8,11,21,52.4,34,40,85.0,8,28,36,15,11,5,16,28,11
DEN,DEN @ LAC,04/15/2014,L,240,105,35,82,42.7,8,29,27.6,27,30,90.0,13,30,43,20,10,4,19,26,-12
UTA,UTA vs. LAL,04/14/2014,L,240,104,42,81,51.9,6,19,31.6,14,20,70.0,9,28,37,25,5,4,18,16,-15
SAS,SAS @ HOU,04/14/2014,L,240,98,39,89,43.8,4,17,23.5,16,18,88.9,8,35,43,24,3,2,6,23,-6
ORL,ORL @ CHI,04/14/2014,L,240,95,36,72,50.0,7,15,46.7,16,19,84.2,4,28,32,26,4,6,20,27,-13
HOU,HOU vs. SAS,04/14/2014,W,240,104,38,85,44.7,4,22,18.2,24,29,82.8,11,39,50,18,4,2,6,16,6
MIA,MIA @ WAS,04/14/2014,L,240,93,36,80,45.0,7,27,25.9,14,16,87.5,5,26,31,23,11,3,13,15,-21
WAS,WAS vs. MIA,04/14/2014,W,240,114,46,78,59.0,14,29,48.3,8,15,53.3,8,34,42,36,9,3,17,19,21
BOS,BOS @ PHI,04/14/2014,L,240,108,40,86,46.5,9,24,37.5,19,26,73.1,12,28,40,26,8,4,19,23,-5
TOR,TOR vs. MIL,04/14/2014,W,240,110,38,81,46.9,14,32,43.8,20,26,76.9,15,31,46,25,11,0,14,22,10
MIL,MIL @ TOR,04/14/2014,L,240,100,38,73,52.1,6,10,60.0,18,26,69.2,6,26,32,21,7,3,16,21,-10
ATL,ATL vs. CHA,04/14/2014,L,240,93,34,79,43.0,8,30,26.7,17,23,73.9,5,34,39,27,6,3,8,21,-2
CHA,CHA @ ATL,04/14/2014,W,240,95,35,80,43.8,6,25,24.0,19,31,61.3,12,36,48,27,3,2,10,20,2
MEM,MEM @ PHX,04/14/2014,W,240,97,40,77,51.9,6,15,40.0,11,15,73.3,10,32,42,20,5,1,19,18,6
PHX,PHX vs. MEM,04/14/2014,L,240,91,38,80,47.5,5,26,19.2,10,14,71.4,8,22,30,15,12,6,12,20,-6
PHI,PHI vs. BOS,04/14/2014,W,240,113,43,79,54.4,3,12,25.0,24,38,63.2,9,33,42,25,10,8,14,21,5
MIN,MIN @ GSW,04/14/2014,L,240,120,43,81,53.1,8,15,53.3,26,33,78.8,10,33,43,37,7,3,21,16,-10
NOP,NOP vs. OKC,04/14/2014,W,240,101,35,79,44.3,9,29,31.0,22,30,73.3,10,29,39,19,8,5,10,18,12
GSW,GSW vs. MIN,04/14/2014,W,240,130,49,101,48.5,15,37,40.5,17,19,89.5,19,32,51,31,13,4,15,27,10
LAL,LAL @ UTA,04/14/2014,W,240,119,45,82,54.9,10,24,41.7,19,22,86.4,9,27,36,31,11,6,13,16,15
OKC,OKC @ NOP,04/14/2014,L,240,89,31,77,40.3,9,32,28.1,18,22,81.8,11,32,43,21,6,4,18,22,-12
CHI,CHI vs. ORL,04/14/2014,W,240,108,39,77,50.6,5,13,38.5,25,32,78.1,8,28,36,27,8,3,9,19,13
POR,POR vs. GSW,04/13/2014,W,265,119,43,86,50.0,10,24,41.7,23,32,71.9,7,39,46,26,7,3,14,12,2
ORL,ORL @ BKN,04/13/2014,L,240,88,35,74,47.3,8,20,40.0,10,14,71.4,8,23,31,22,13,2,20,23,-9
BKN,BKN vs. ORL,04/13/2014,W,240,97,34,73,46.6,12,29,41.4,17,23,73.9,14,29,43,23,11,5,23,16,9
GSW,GSW @ POR,04/13/2014,L,265,117,44,91,48.4,17,37,45.9,12,16,75.0,6,32,38,22,10,0,15,27,-2
IND,IND vs. OKC,04/13/2014,W,240,102,38,72,52.8,9,20,45.0,17,23,73.9,10,36,46,23,3,4,23,21,5
OKC,OKC @ IND,04/13/2014,L,240,97,36,84,42.9,7,28,25.0,18,19,94.7,8,24,32,21,12,4,9,24,-5
SAC,SAC vs. MIN,04/13/2014,W,240,106,41,82,50.0,6,17,35.3,18,27,66.7,8,39,47,25,6,6,15,23,3
DET,DET vs. TOR,04/13/2014,L,240,107,35,84,41.7,5,20,25.0,32,48,66.7,21,34,55,25,6,4,15,29,-9
TOR,TOR @ DET,04/13/2014,W,240,116,39,81,48.1,9,23,39.1,29,35,82.9,8,32,40,22,8,6,10,35,9
NYK,NYK vs. CHI,04/13/2014,W,240,100,37,81,45.7,9,25,36.0,17,21,81.0,7,29,36,16,9,5,9,25,11
CHI,CHI @ NYK,04/13/2014,L,240,89,29,74,39.2,6,22,27.3,25,32,78.1,12,33,45,23,4,1,16,19,-11
LAL,LAL vs. MEM,04/13/2014,L,240,90,35,80,43.8,11,27,40.7,9,11,81.8,5,27,32,29,9,5,17,15,-12
MEM,MEM @ LAL,04/13/2014,W,240,102,42,88,47.7,8,15,53.3,10,13,76.9,16,36,52,29,10,7,17,12,12
MIN,MIN @ SAC,04/13/2014,L,240,103,35,88,39.8,7,22,31.8,26,30,86.7,10,31,41,26,6,5,10,20,-3
DAL,DAL vs. PHX,04/12/2014,W,240,101,39,79,49.4,11,24,45.8,12,15,80.0,9,33,42,21,11,5,19,18,3
SAC,SAC @ LAC,04/12/2014,L,240,101,35,82,42.7,4,9,44.4,27,33,81.8,12,26,38,21,5,4,10,26,-16
LAC,LAC vs. SAC,04/12/2014,W,240,117,41,81,50.6,9,19,47.4,26,36,72.2,10,33,43,31,6,8,11,26,16
PHX,PHX @ DAL,04/12/2014,L,240,98,36,78,46.2,8,17,47.1,18,23,78.3,12,29,41,14,16,4,18,18,-3
CHA,CHA vs. PHI,04/12/2014,W,240,111,39,72,54.2,7,19,36.8,26,41,63.4,9,32,41,23,3,9,15,22,6
MIL,MIL @ WAS,04/12/2014,L,240,91,32,68,47.1,5,8,62.5,22,34,64.7,13,29,42,20,5,3,20,16,-13
WAS,WAS vs. MIL,04/12/2014,W,240,104,40,84,47.6,8,22,36.4,16,19,84.2,8,28,36,25,7,5,11,23,13
PHI,PHI @ CHA,04/12/2014,L,240,105,41,93,44.1,5,25,20.0,18,26,69.2,11,29,40,18,8,1,9,30,-6
UTA,UTA @ DEN,04/12/2014,L,240,94,34,79,43.0,2,13,15.4,24,32,75.0,8,31,39,20,13,6,14,23,-7
DEN,DEN vs. UTA,04/12/2014,W,240,101,35,84,41.7,7,22,31.8,24,29,82.8,14,38,52,23,5,5,18,26,7
MIA,MIA @ ATL,04/12/2014,L,240,85,35,73,47.9,6,25,24.0,9,19,47.4,6,38,44,18,5,5,20,20,-13
ATL,ATL vs. MIA,04/12/2014,W,240,98,36,78,46.2,10,22,45.5,16,19,84.2,5,33,38,24,13,2,13,22,13
NOP,NOP @ HOU,04/12/2014,L,240,104,39,88,44.3,9,22,40.9,17,21,81.0,8,31,39,20,7,8,11,26,-7
BOS,BOS @ CLE,04/12/2014,W,240,111,42,90,46.7,12,30,40.0,15,18,83.3,7,40,47,27,5,5,11,24,12
CLE,CLE vs. BOS,04/12/2014,L,240,99,37,90,41.1,5,18,27.8,20,30,66.7,15,34,49,22,2,2,12,20,-12
HOU,HOU vs. NOP,04/12/2014,W,240,111,35,74,47.3,10,27,37.0,31,39,79.5,6,30,36,23,10,8,13,19,7
HOU,HOU @ MIN,04/11/2014,L,240,110,36,83,43.4,11,25,44.0,27,36,75.0,15,37,52,22,12,4,22,32,-2
MIN,MIN vs. HOU,04/11/2014,W,240,112,41,94,43.6,3,12,25.0,27,40,67.5,18,32,50,22,13,8,15,25,2
UTA,UTA vs. POR,04/11/2014,L,240,99,40,86,46.5,6,13,46.2,13,16,81.3,13,34,47,26,3,4,13,19,-12
POR,POR @ UTA,04/11/2014,W,240,111,40,87,46.0,11,22,50.0,20,24,83.3,9,32,41,23,7,3,8,12,12
ATL,ATL @ BKN,04/11/2014,W,240,93,36,79,45.6,1,19,5.3,20,21,95.2,9,35,44,17,5,9,13,20,5
OKC,OKC vs. NOP,04/11/2014,W,240,116,44,82,53.7,5,13,38.5,23,27,85.2,8,39,47,28,8,12,11,21,22
NOP,NOP @ OKC,04/11/2014,L,240,94,35,86,40.7,9,18,50.0,15,19,78.9,8,27,35,24,4,4,15,20,-22
BKN,BKN vs. ATL,04/11/2014,L,240,88,34,80,42.5,6,22,27.3,14,25,56.0,9,29,38,22,9,3,15,21,-5
IND,IND @ MIA,04/11/2014,L,240,86,31,65,47.7,8,14,57.1,16,19,84.2,5,26,31,20,5,3,16,23,-12
MIA,MIA vs. IND,04/11/2014,W,240,98,35,75,46.7,6,16,37.5,22,28,78.6,11,29,40,14,10,4,9,22,12
PHI,PHI @ MEM,04/11/2014,L,240,95,39,88,44.3,6,18,33.3,11,17,64.7,8,28,36,16,14,3,15,26,-22
CLE,CLE @ MIL,04/11/2014,L,240,116,42,85,49.4,4,20,20.0,28,35,80.0,11,29,40,18,11,4,10,27,-3
MIL,MIL vs. CLE,04/11/2014,W,240,119,44,84,52.4,6,16,37.5,25,38,65.8,14,27,41,20,5,4,12,22,3
WAS,WAS @ ORL,04/11/2014,W,240,96,35,82,42.7,2,19,10.5,24,33,72.7,13,31,44,24,7,4,13,19,10
ORL,ORL vs. WAS,04/11/2014,L,240,86,32,77,41.6,4,19,21.1,18,24,75.0,10,32,42,21,9,5,18,31,-10
GSW,GSW @ LAL,04/11/2014,W,240,112,45,92,48.9,13,25,52.0,9,13,69.2,12,45,57,27,12,5,18,17,17
LAL,LAL vs. GSW,04/11/2014,L,240,95,35,89,39.3,9,28,32.1,16,20,80.0,8,34,42,23,10,2,15,12,-17
MEM,MEM vs. PHI,04/11/2014,W,240,117,44,81,54.3,5,13,38.5,24,32,75.0,10,39,49,28,8,8,16,15,22
TOR,TOR vs. NYK,04/11/2014,L,240,100,30,76,39.5,15,33,45.5,25,31,80.6,14,28,42,16,2,4,16,24,-8
NYK,NYK @ TOR,04/11/2014,W,240,108,35,73,47.9,6,24,25.0,32,36,88.9,7,32,39,16,6,3,8,24,8
CHA,CHA @ BOS,04/11/2014,L,240,103,44,87,50.6,7,18,38.9,8,12,66.7,7,27,34,33,12,4,12,20,-3
SAS,SAS vs. PHX,04/11/2014,W,240,112,43,96,44.8,13,30,43.3,13,16,81.3,11,31,42,24,10,5,7,15,8
BOS,BOS vs. CHA,04/11/2014,W,240,106,41,79,51.9,11,23,47.8,13,13,100.0,7,30,37,22,7,3,20,16,3
DET,DET @ CHI,04/11/2014,L,240,98,40,86,46.5,5,17,29.4,13,23,56.5,15,30,45,12,7,2,11,21,-8
CHI,CHI vs. DET,04/11/2014,W,240,106,40,81,49.4,5,19,26.3,21,23,91.3,9,30,39,27,6,7,12,19,8
PHX,PHX @ SAS,04/11/2014,L,240,104,39,82,47.6,9,26,34.6,17,19,89.5,10,38,48,18,7,1,20,17,-8
DEN,DEN @ GSW,04/10/2014,W,240,100,39,104,37.5,10,34,29.4,12,19,63.2,25,38,63,23,9,5,17,18,1
GSW,GSW vs. DEN,04/10/2014,L,240,99,40,88,45.5,6,23,26.1,13,15,86.7,6,32,38,19,9,4,13,17,-1
SAS,SAS @ DAL,04/10/2014,W,240,109,38,88,43.2,16,34,47.1,17,22,77.3,15,33,48,22,9,1,13,22,9
DAL,DAL vs. SAS,04/10/2014,L,240,100,39,83,47.0,5,12,41.7,17,21,81.0,8,34,42,16,5,5,10,17,-9
MIN,MIN vs. CHI,04/09/2014,L,240,87,34,80,42.5,4,17,23.5,15,16,93.8,11,29,40,16,5,5,14,14,-15
DEN,DEN vs. HOU,04/09/2014,W,240,123,50,101,49.5,11,28,39.3,12,14,85.7,10,34,44,31,10,8,11,21,7
HOU,HOU @ DEN,04/09/2014,L,240,116,40,92,43.5,15,40,37.5,21,25,84.0,12,35,47,28,9,5,15,20,-7
MIA,MIA @ MEM,04/09/2014,L,240,102,38,73,52.1,15,25,60.0,11,12,91.7,6,21,27,24,11,2,15,17,-5
MEM,MEM vs. MIA,04/09/2014,W,240,107,43,78,55.1,7,20,35.0,14,21,66.7,12,29,41,23,10,6,14,19,5
OKC,OKC @ LAC,04/09/2014,W,240,107,38,90,42.2,5,21,23.8,26,32,81.3,11,33,44,18,8,8,8,24,6
LAC,LAC vs. OKC,04/09/2014,L,240,101,36,86,41.9,8,27,29.6,21,34,61.8,15,37,52,23,7,5,17,22,-6
WAS,WAS vs. CHA,04/09/2014,L,265,88,37,82,45.1,1,15,6.7,13,20,65.0,7,38,45,23,7,9,12,15,-6
CHA,CHA @ WAS,04/09/2014,W,265,94,35,92,38.0,11,25,44.0,13,15,86.7,9,39,48,23,7,1,13,17,6
SAC,SAC @ POR,04/09/2014,L,240,99,39,91,42.9,5,11,45.5,16,22,72.7,14,31,45,19,10,2,12,19,-1
POR,POR vs. SAC,04/09/2014,W,240,100,38,75,50.7,7,23,30.4,17,22,77.3,5,38,43,26,4,4,18,19,1
CHI,CHI @ MIN,04/09/2014,W,240,102,41,82,50.0,11,21,52.4,9,12,75.0,9,28,37,29,4,8,14,18,15
PHI,PHI @ TOR,04/09/2014,L,240,114,44,85,51.8,8,21,38.1,18,21,85.7,9,27,36,20,2,5,13,25,-11
TOR,TOR vs. PHI,04/09/2014,W,240,125,41,82,50.0,12,25,48.0,31,37,83.8,10,25,35,25,2,7,7,16,11
ORL,ORL vs. BKN,04/09/2014,W,240,115,43,77,55.8,11,24,45.8,18,30,60.0,11,30,41,26,10,5,14,24,4
BKN,BKN @ ORL,04/09/2014,L,240,111,38,79,48.1,10,29,34.5,25,34,73.5,13,28,41,22,7,0,14,23,-4
ATL,ATL vs. BOS,04/09/2014,W,240,105,40,76,52.6,9,23,39.1,16,22,72.7,8,35,43,30,7,5,16,14,8
BOS,BOS @ ATL,04/09/2014,L,240,97,37,84,44.0,12,26,46.2,11,14,78.6,11,28,39,25,7,3,16,22,-8
CLE,CLE vs. DET,04/09/2014,W,240,122,53,93,57.0,11,26,42.3,5,9,55.6,13,34,47,41,8,6,17,24,22
DET,DET @ CLE,04/09/2014,L,240,100,34,96,35.4,9,28,32.1,23,32,71.9,21,25,46,19,10,2,15,12,-22
MIL,MIL vs. IND,04/09/2014,L,240,102,38,87,43.7,4,16,25.0,22,29,75.9,14,34,48,21,6,5,11,20,-2
IND,IND @ MIL,04/09/2014,W,240,104,41,85,48.2,11,24,45.8,11,19,57.9,8,33,41,26,4,5,11,24,2
NOP,NOP vs. PHX,04/09/2014,L,240,88,34,80,42.5,6,14,42.9,14,17,82.4,8,34,42,25,6,5,14,17,-6
PHX,PHX @ NOP,04/09/2014,W,240,94,39,80,48.8,9,19,47.4,7,10,70.0,6,32,38,23,5,6,12,18,6
OKC,OKC @ SAC,04/08/2014,W,240,107,38,80,47.5,12,22,54.5,19,27,70.4,10,29,39,23,5,4,6,23,15
SAS,SAS @ MIN,04/08/2014,L,240,91,36,81,44.4,4,17,23.5,15,25,60.0,11,26,37,19,8,7,16,22,-19
ATL,ATL vs. DET,04/08/2014,L,240,95,34,89,38.2,9,35,25.7,18,24,75.0,17,31,48,26,9,5,16,23,-7
DET,DET @ ATL,04/08/2014,W,240,102,37,86,43.0,6,17,35.3,22,32,68.8,16,37,53,14,13,4,15,20,7
SAC,SAC vs. OKC,04/08/2014,L,240,92,34,82,41.5,3,14,21.4,21,28,75.0,13,31,44,13,5,4,10,18,-15
MIN,MIN vs. SAS,04/08/2014,W,240,110,42,91,46.2,5,15,33.3,21,26,80.8,16,36,52,23,9,3,16,18,19
LAL,LAL vs. HOU,04/08/2014,L,240,130,44,95,46.3,14,32,43.8,28,35,80.0,5,28,33,38,8,7,11,20,-15
HOU,HOU @ LAL,04/08/2014,W,240,145,56,97,57.7,11,26,42.3,22,28,78.6,12,46,58,33,8,9,14,22,15
MIA,MIA vs. BKN,04/08/2014,L,240,87,33,69,47.8,7,24,29.2,14,19,73.7,6,28,34,17,9,3,13,15,-1
BKN,BKN @ MIA,04/08/2014,W,240,88,36,68,52.9,9,23,39.1,7,14,50.0,4,31,35,13,9,7,17,14,1
UTA,UTA vs. DAL,04/08/2014,L,240,83,36,87,41.4,4,24,16.7,7,13,53.8,23,24,47,16,7,3,9,15,-12
DAL,DAL @ UTA,04/08/2014,W,240,95,40,72,55.6,9,23,39.1,6,11,54.5,6,30,36,24,3,5,10,12,12
DAL,DAL @ SAC,04/06/2014,W,240,93,36,89,40.4,13,31,41.9,8,14,57.1,16,29,45,23,7,5,10,16,2
UTA,UTA @ GSW,04/06/2014,L,240,102,39,86,45.3,4,13,30.8,20,28,71.4,8,29,37,27,13,1,12,13,-28
ATL,ATL @ IND,04/06/2014,W,240,107,41,73,56.2,12,27,44.4,13,17,76.5,5,35,40,22,4,3,16,26,19
IND,IND vs. ATL,04/06/2014,L,240,88,32,78,41.0,5,20,25.0,19,30,63.3,10,25,35,18,9,3,11,26,-19
LAC,LAC vs. LAL,04/06/2014,W,240,120,47,83,56.6,10,19,52.6,16,26,61.5,8,44,52,28,12,5,17,17,23
LAL,LAL @ LAC,04/06/2014,L,240,97,36,86,41.9,7,31,22.6,18,23,78.3,8,30,38,26,9,0,15,19,-23
GSW,GSW vs. UTA,04/06/2014,W,240,130,52,90,57.8,17,33,51.5,9,9,100.0,6,39,45,34,9,2,16,23,28
SAS,SAS vs. MEM,04/06/2014,W,240,112,43,77,55.8,9,22,40.9,17,18,94.4,6,34,40,27,7,3,16,16,20
DEN,DEN @ HOU,04/06/2014,L,265,125,51,107,47.7,14,31,45.2,9,13,69.2,15,39,54,28,8,8,21,24,-5
HOU,HOU vs. DEN,04/06/2014,W,265,130,45,98,45.9,13,36,36.1,27,40,67.5,15,35,50,24,15,10,15,19,5
MEM,MEM @ SAS,04/06/2014,L,240,92,38,86,44.2,5,14,35.7,11,17,64.7,13,24,37,22,8,3,15,19,-20
SAC,SAC vs. DAL,04/06/2014,L,240,91,36,76,47.4,5,18,27.8,14,20,70.0,6,34,40,21,6,3,13,17,-2
NYK,NYK @ MIA,04/06/2014,L,240,91,33,88,37.5,15,42,35.7,10,13,76.9,15,23,38,18,10,2,11,24,-11
MIA,MIA vs. NYK,04/06/2014,W,240,102,34,61,55.7,12,27,44.4,22,30,73.3,7,28,35,22,6,0,16,17,11
OKC,OKC @ PHX,04/06/2014,L,240,115,40,84,47.6,9,32,28.1,26,32,81.3,7,31,38,17,6,4,12,30,-7
PHX,PHX vs. OKC,04/06/2014,W,240,122,45,77,58.4,11,23,47.8,21,31,67.7,5,31,36,17,6,2,12,24,7
NOP,NOP @ POR,04/06/2014,L,240,94,38,90,42.2,4,12,33.3,14,18,77.8,13,25,38,21,10,4,10,19,-6
POR,POR vs. NOP,04/06/2014,W,240,100,41,87,47.1,5,22,22.7,13,15,86.7,14,36,50,20,5,6,15,17,6
ORL,ORL vs. MIN,04/05/2014,W,240,100,43,79,54.4,9,17,52.9,5,9,55.6,13,27,40,29,7,4,23,23,8
PHI,PHI vs. BKN,04/05/2014,L,240,101,36,79,45.6,10,23,43.5,19,27,70.4,9,31,40,27,6,2,13,26,-4
BKN,BKN @ PHI,04/05/2014,W,240,105,41,80,51.3,6,21,28.6,17,23,73.9,8,33,41,29,6,3,14,20,4
WAS,WAS vs. CHI,04/05/2014,L,240,78,34,86,39.5,3,16,18.8,7,12,58.3,14,26,40,16,6,4,12,19,-18
CHI,CHI @ WAS,04/05/2014,W,240,96,35,79,44.3,9,23,39.1,17,21,81.0,11,34,45,24,7,4,11,14,18
MIN,MIN @ ORL,04/05/2014,L,240,92,36,77,46.8,1,14,7.1,19,28,67.9,8,22,30,26,11,6,13,10,-8
TOR,TOR @ MIL,04/05/2014,W,240,102,36,81,44.4,12,27,44.4,18,22,81.8,12,27,39,20,5,2,10,22,4
MIL,MIL vs. TOR,04/05/2014,L,240,98,38,79,48.1,1,9,11.1,21,27,77.8,12,25,37,28,5,5,10,21,-4
CLE,CLE vs. CHA,04/05/2014,L,265,94,35,96,36.5,7,22,31.8,17,21,81.0,10,41,51,22,5,3,11,18,-2
CHA,CHA @ CLE,04/05/2014,W,265,96,34,91,37.4,9,26,34.6,19,27,70.4,12,46,58,23,7,5,12,19,2
BOS,BOS @ DET,04/05/2014,L,240,111,42,88,47.7,14,31,45.2,13,16,81.3,15,22,37,25,8,3,12,24,-4
DET,DET vs. BOS,04/05/2014,W,240,115,38,79,48.1,9,23,39.1,30,36,83.3,13,30,43,18,6,1,13,16,4
ORL,ORL @ CHA,04/04/2014,L,240,80,31,87,35.6,3,11,27.3,15,18,83.3,14,29,43,15,8,10,13,25,-11
DEN,DEN @ MEM,04/04/2014,L,240,92,29,80,36.3,7,23,30.4,27,32,84.4,14,32,46,16,7,4,20,27,-8
TOR,TOR vs. IND,04/04/2014,W,240,102,40,84,47.6,10,22,45.5,12,16,75.0,9,33,42,23,6,5,11,20,8
IND,IND @ TOR,04/04/2014,L,240,94,33,78,42.3,6,11,54.5,22,28,78.6,8,31,39,19,6,3,10,19,-8
HOU,HOU vs. OKC,04/04/2014,W,240,111,33,78,42.3,13,31,41.9,32,37,86.5,9,36,45,21,8,2,12,21,4
PHI,PHI @ BOS,04/04/2014,W,240,111,39,77,50.6,6,19,31.6,27,37,73.0,9,25,34,21,12,4,14,21,9
BOS,BOS vs. PHI,04/04/2014,L,240,102,38,87,43.7,9,33,27.3,17,21,81.0,19,30,49,23,4,5,22,27,-9
MEM,MEM vs. DEN,04/04/2014,W,240,100,32,83,38.6,2,11,18.2,34,38,89.5,10,28,38,18,9,4,12,26,8
MIA,MIA vs. MIN,04/04/2014,L,290,121,43,99,43.4,11,36,30.6,24,30,80.0,15,37,52,20,11,6,17,27,-1
MIN,MIN @ MIA,04/04/2014,W,290,122,43,93,46.2,12,32,37.5,24,34,70.6,10,36,46,27,10,5,18,22,1
ATL,ATL vs. CLE,04/04/2014,W,240,117,48,82,58.5,13,29,44.8,8,10,80.0,2,36,38,35,1,3,17,17,19
CLE,CLE @ ATL,04/04/2014,L,240,98,36,91,39.6,5,21,23.8,21,25,84.0,10,24,34,16,13,3,6,18,-19
NOP,NOP @ UTA,04/04/2014,L,240,96,34,73,46.6,8,19,42.1,20,29,69.0,9,27,36,19,6,9,17,27,-4
UTA,UTA vs. NOP,04/04/2014,W,240,100,33,64,51.6,4,11,36.4,30,35,85.7,6,28,34,22,8,6,17,24,4
CHI,CHI vs. MIL,04/04/2014,W,240,102,31,84,36.9,7,22,31.8,33,42,78.6,16,28,44,24,13,5,12,24,12
MIL,MIL @ CHI,04/04/2014,L,240,90,31,68,45.6,2,8,25.0,26,35,74.3,9,29,38,17,7,9,20,24,-12
PHX,PHX @ POR,04/04/2014,W,240,109,39,97,40.2,6,21,28.6,25,31,80.6,23,36,59,17,7,4,12,20,16
POR,POR vs. PHX,04/04/2014,L,240,93,35,81,43.2,6,21,28.6,17,27,63.0,13,35,48,20,5,8,16,23,-16
WAS,WAS @ NYK,04/04/2014,W,240,90,38,78,48.7,5,19,26.3,9,15,60.0,12,29,41,18,7,0,17,15,1
DET,DET @ BKN,04/04/2014,L,240,104,41,88,46.6,9,27,33.3,13,21,61.9,19,27,46,23,6,2,10,14,-12
NYK,NYK vs. WAS,04/04/2014,L,240,89,34,76,44.7,14,31,45.2,7,8,87.5,8,26,34,23,9,1,17,14,-1
