Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
PHI,PHI @ MIA,04/16/2014,W,240,100,38,74,51.4,10,23,43.5,14,16,87.5,5,30,35,24,15,5,21,22,13
IND,IND @ ORL,04/16/2014,W,240,101,41,88,46.6,11,23,47.8,8,11,72.7,15,37,52,26,5,2,12,17,15
ORL,ORL vs. IND,04/16/2014,L,240,86,32,79,40.5,5,15,33.3,17,24,70.8,9,31,40,14,9,5,10,16,-15
GSW,GSW @ DEN,04/16/2014,W,240,116,44,90,48.9,8,23,34.8,20,35,57.1,11,34,45,27,12,4,14,23,4
BKN,BKN @ CLE,04/16/2014,L,240,85,30,79,38.0,8,25,32.0,17,23,73.9,6,30,36,21,9,1,16,16,-29
CLE,CLE vs. BKN,04/16/2014,W,240,114,46,87,52.9,8,20,40.0,14,17,82.4,13,38,51,32,10,7,12,18,29
NOP,NOP vs. HOU,04/16/2014,W,240,105,43,82,52.4,6,12,50.0,13,20,65.0,11,31,42,24,10,10,10,18,5
HOU,HOU @ NOP,04/16/2014,L,240,100,35,81,43.2,14,30,46.7,16,24,66.7,13,28,41,23,3,4,14,16,-5
MEM,MEM vs. DAL,04/16/2014,W,265,106,43,88,48.9,5,20,25.0,15,25,60.0,20,28,48,25,7,1,17,16,1
DAL,DAL @ MEM,04/16/2014,L,265,105,44,92,47.8,8,30,26.7,9,11,81.8,15,24,39,22,11,4,13,23,-1
BOS,BOS vs. WAS,04/16/2014,L,240,102,39,84,46.4,7,30,23.3,17,23,73.9,11,26,37,24,8,1,14,16,-16
WAS,WAS @ BOS,04/16/2014,W,240,118,50,88,56.8,6,18,33.3,12,17,70.6,6,30,36,26,6,2,12,20,16
LAC,LAC @ POR,04/16/2014,L,240,104,34,84,40.5,8,34,23.5,28,33,84.8,8,34,42,20,4,4,8,20,-6
POR,POR vs. LAC,04/16/2014,W,240,110,42,101,41.6,10,26,38.5,16,22,72.7,24,41,65,29,5,2,10,23,6
LAL,LAL @ SAS,04/16/2014,W,240,113,45,91,49.5,11,27,40.7,12,17,70.6,6,44,50,29,4,2,9,17,13
SAS,SAS vs. LAL,04/16/2014,L,240,100,41,99,41.4,10,30,33.3,8,10,80.0,10,39,49,25,3,6,10,19,-13
DEN,DEN vs. GSW,04/16/2014,L,240,112,37,84,44.0,9,34,26.5,29,35,82.9,9,33,42,23,4,4,19,28,-4
MIA,MIA vs. PHI,04/16/2014,L,240,87,30,73,41.1,10,30,33.3,17,22,77.3,9,25,34,16,8,2,22,16,-13
PHX,PHX @ SAC,04/16/2014,W,240,104,40,86,46.5,8,20,40.0,16,22,72.7,7,33,40,16,9,5,11,21,5
SAC,SAC vs. PHX,04/16/2014,L,240,99,37,86,43.0,4,19,21.1,21,30,70.0,13,41,54,19,8,3,17,20,-5
UTA,UTA @ MIN,04/16/2014,W,290,136,53,108,49.1,6,24,25.0,24,29,82.8,22,38,60,30,10,9,19,34,6
DET,DET @ OKC,04/16/2014,L,240,111,42,83,50.6,8,19,42.1,19,31,61.3,15,26,41,20,6,3,17,28,-1
OKC,OKC vs. DET,04/16/2014,W,240,112,38,86,44.2,5,23,21.7,31,41,75.6,24,25,49,23,10,7,15,22,1
CHI,CHI @ CHA,04/16/2014,L,265,86,34,86,39.5,8,22,36.4,10,15,66.7,6,38,44,21,7,4,12,22,-5
CHA,CHA vs. CHI,04/16/2014,W,265,91,34,85,40.0,5,21,23.8,18,26,69.2,12,41,53,23,8,7,11,14,5
MIN,MIN vs. UTA,04/16/2014,L,290,130,40,97,41.2,8,25,32.0,42,54,77.8,13,32,45,24,12,5,15,24,-6
MIL,MIL vs. ATL,04/16/2014,L,240,103,40,77,51.9,7,18,38.9,16,21,76.2,11,32,43,25,5,5,22,21,-8
ATL,ATL @ MIL,04/16/2014,W,240,111,41,76,53.9,8,24,33.3,21,26,80.8,4,26,30,29,13,2,12,18,8
NYK,NYK vs. TOR,04/16/2014,W,240,95,37,81,45.7,8,17,47.1,13,19,68.4,11,25,36,13,12,6,16,23,3
TOR,TOR @ NYK,04/16/2014,L,240,92,36,80,45.0,9,29,31.0,11,18,61.1,12,36,48,20,9,2,25,20,-3
