Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
OKC,OKC vs. MIL,04/17/2013,L,240,89,37,89,41.6,3,21,14.3,12,14,85.7,13,31,44,16,8,2,8,14,-6
LAC,LAC @ SAC,04/17/2013,W,240,112,44,88,50.0,12,24,50.0,12,18,66.7,11,33,44,25,5,3,13,20,4
SAC,SAC vs. LAC,04/17/2013,L,240,108,40,89,44.9,9,26,34.6,19,25,76.0,12,32,44,23,5,4,11,20,-4
MIN,MIN @ SAS,04/17/2013,W,240,108,42,91,46.2,12,29,41.4,12,16,75.0,8,37,45,26,11,2,12,17,13
SAS,SAS vs. MIN,04/17/2013,L,240,95,33,79,41.8,7,18,38.9,22,22,100,4,36,40,20,5,2,18,22,-13
DAL,DAL vs. NOH,04/17/2013,W,240,99,42,82,51.2,6,16,37.5,9,11,81.8,7,30,37,24,12,5,11,23,12
GSW,GSW @ POR,04/17/2013,W,240,99,40,93,43.0,9,21,42.9,10,13,76.9,14,38,52,21,7,3,12,17,11
WAS,WAS @ CHI,04/17/2013,L,240,92,36,85,42.4,7,16,43.8,13,17,76.5,7,30,37,17,7,5,9,17,-3
CHI,CHI vs. WAS,04/17/2013,W,240,95,37,78,47.4,7,18,38.9,14,19,73.7,12,33,45,26,5,2,15,22,3
BOS,BOS @ TOR,04/17/2013,L,240,90,37,84,44.0,7,17,41.2,9,13,69.2,9,29,38,19,7,2,13,22,-24
TOR,TOR vs. BOS,04/17/2013,W,240,114,40,80,50.0,12,21,57.1,22,28,78.6,9,37,46,26,5,5,11,14,24
MIL,MIL @ OKC,04/17/2013,W,240,95,36,85,42.4,10,27,37.0,13,18,72.2,17,36,53,18,5,3,12,11,6
LAL,LAL vs. HOU,04/17/2013,W,265,99,33,90,36.7,10,32,31.3,23,34,67.6,17,40,57,27,6,6,13,17,4
UTA,UTA @ MEM,04/17/2013,L,240,70,25,78,32.1,3,11,27.3,17,26,65.4,17,30,47,15,6,6,14,18,-16
DEN,DEN vs. PHX,04/17/2013,W,240,118,49,93,52.7,4,16,25.0,16,20,80.0,15,39,54,28,8,8,16,13,20
PHX,PHX @ DEN,04/17/2013,L,240,98,40,104,38.5,7,25,28.0,11,17,64.7,20,27,47,29,8,5,13,18,-20
ATL,ATL @ NYK,04/17/2013,L,240,92,37,90,41.1,2,21,9.5,16,17,94.1,15,38,53,14,7,2,13,15,-6
NYK,NYK vs. ATL,04/17/2013,W,240,98,39,91,42.9,9,24,37.5,11,16,68.8,16,34,50,21,8,3,12,16,6
ORL,ORL @ MIA,04/17/2013,L,240,93,40,77,51.9,2,14,14.3,11,25,44.0,8,33,41,23,5,1,15,22,-12
NOH,NOH @ DAL,04/17/2013,L,240,87,31,84,36.9,4,11,36.4,21,28,75.0,25,33,58,11,5,3,21,17,-12
MEM,MEM vs. UTA,04/17/2013,W,240,86,34,84,40.5,4,13,30.8,14,20,70.0,19,38,57,22,7,8,11,24,16
CLE,CLE @ CHA,04/17/2013,L,240,98,39,80,48.8,8,23,34.8,12,18,66.7,4,31,35,24,9,3,12,24,-7
MIA,MIA vs. ORL,04/17/2013,W,240,105,42,78,53.8,12,29,41.4,9,19,47.4,6,28,34,31,7,12,12,18,12
DET,DET @ BKN,04/17/2013,L,240,99,37,78,47.4,1,13,7.7,24,32,75.0,10,29,39,17,17,5,24,24,-4
BKN,BKN vs. DET,04/17/2013,W,240,103,39,81,48.1,8,24,33.3,17,23,73.9,11,27,38,28,13,3,24,24,4
HOU,HOU @ LAL,04/17/2013,L,265,95,35,84,41.7,8,33,24.2,17,24,70.8,9,37,46,21,6,5,14,28,-4
PHI,PHI @ IND,04/17/2013,W,240,105,43,85,50.6,8,19,42.1,11,14,78.6,10,32,42,16,9,6,16,23,10
CHA,CHA vs. CLE,04/17/2013,W,240,105,37,73,50.7,8,20,40.0,23,30,76.7,7,33,40,28,8,4,15,14,7
IND,IND vs. PHI,04/17/2013,L,240,95,36,80,45.0,6,26,23.1,17,27,63.0,13,29,42,17,8,4,16,14,-10
POR,POR vs. GSW,04/17/2013,L,240,88,35,82,42.7,6,12,50.0,12,14,85.7,6,36,42,18,2,5,14,13,-11
POR,POR @ LAC,04/16/2013,L,240,77,30,73,41.1,7,21,33.3,10,15,66.7,5,28,33,18,6,0,14,16,-16
LAC,LAC vs. POR,04/16/2013,W,240,93,37,79,46.8,7,27,25.9,12,15,80.0,14,37,51,30,10,4,16,12,16
ATL,ATL vs. TOR,04/16/2013,L,240,96,35,88,39.8,9,28,32.1,17,23,73.9,14,28,42,22,8,1,11,19,-17
TOR,TOR @ ATL,04/16/2013,W,240,113,40,78,51.3,10,27,37.0,23,27,85.2,10,37,47,24,7,10,18,20,17
BOS,BOS vs. IND,04/16/2013,,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
IND,IND @ BOS,04/16/2013,,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
SAC,SAC @ OKC,04/15/2013,L,240,95,38,87,43.7,7,27,25.9,12,21,57.1,12,33,45,19,8,0,15,15,-9
OKC,OKC vs. SAC,04/15/2013,W,240,104,42,92,45.7,5,23,21.7,15,20,75.0,17,32,49,23,10,6,11,18,9
DET,DET vs. PHI,04/15/2013,W,240,109,41,83,49.4,9,25,36.0,18,22,81.8,12,31,43,23,7,3,14,21,8
MIA,MIA @ CLE,04/15/2013,W,240,96,33,66,50.0,13,28,46.4,17,27,63.0,10,35,45,25,2,8,18,19,1
BKN,BKN vs. WAS,04/15/2013,W,240,106,43,92,46.7,7,15,46.7,13,27,48.1,20,25,45,12,13,2,14,18,5
GSW,GSW vs. SAS,04/15/2013,W,240,116,46,85,54.1,9,20,45.0,15,18,83.3,9,44,53,26,9,7,21,17,10
CLE,CLE vs. MIA,04/15/2013,L,240,95,39,86,45.3,5,13,38.5,12,19,63.2,13,25,38,20,8,5,6,22,-1
MEM,MEM @ DAL,04/15/2013,W,240,103,38,80,47.5,7,21,33.3,20,25,80.0,16,34,50,24,10,3,17,22,6
DAL,DAL vs. MEM,04/15/2013,L,240,97,34,76,44.7,9,19,47.4,20,25,80.0,8,28,36,18,7,3,15,22,-6
