Player,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Trevor Keels,3.0,3.0,0.0,8.0,3.0,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-18.0
Trey Burke,55.333333333333336,25.11111111111111,30.22222222222222,1155.6222222222223,532.4444444444445,205.22222222222223,500.0,42.43333333333333,62.666666666666664,181.88888888888889,36.077777777777776,59.333333333333336,73.22222222222223,80.76666666666667,18.22222222222222,79.33333333333333,97.55555555555556,169.11111111111111,61.666666666666664,30.444444444444443,5.777777777777778,71.22222222222223,950.1111111111111,1.6666666666666667,0.0,-61.0
Trey Lyles,65.375,32.875,32.5,1182.9,508.125,184.0,415.375,44.4625,60.125,175.875,34.4875,80.0,106.875,72.7875,55.375,226.25,281.625,67.875,55.0,25.25,23.375,93.25,1038.875,2.0,0.0,-36.875
Trey McKinney-Jones,1.0,1.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Murphy III,70.5,35.0,35.5,1655.8,741.0,248.0,538.5,43.9,136.5,341.5,39.400000000000006,108.5,120.5,89.35,53.0,161.0,214.0,75.0,38.5,56.0,25.0,107.5,1314.5,0.5,0.0,18.5
Tristan Thompson,67.0,31.8,35.2,1813.17,609.8,246.0,467.5,53.489999999999995,1.0,3.6,7.24,116.8,191.5,59.75,221.7,351.4,573.1,69.8,74.4,33.7,43.9,152.1,1560.8,17.6,0.0,-61.3
Troy Brown Jr.,59.4,26.2,33.2,1189.92,389.8,148.0,344.6,42.68,51.8,146.4,34.160000000000004,42.0,54.4,76.4,46.4,182.4,228.8,89.6,41.0,42.2,7.8,83.8,908.0,1.8,0.0,-51.8
Troy Caupain,4.0,3.0,1.0,15.6,10.0,4.0,8.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,8.0
Troy Daniels,48.42857142857143,20.428571428571427,28.0,720.8285714285714,318.85714285714283,109.57142857142857,273.42857142857144,41.5,79.28571428571429,200.57142857142858,40.65714285714286,20.428571428571427,25.571428571428573,64.01428571428572,10.571428571428571,53.142857142857146,63.714285714285715,26.428571428571427,26.714285714285715,14.285714285714286,3.0,61.285714285714285,460.14285714285717,0.0,0.0,-75.42857142857143
Troy Murphy,14.0,6.0,8.0,256.0,65.0,22.0,61.0,36.1,11.0,35.0,31.4,10.0,11.0,90.9,7.0,42.0,49.0,7.0,7.0,10.0,6.0,29.0,175.0,0.0,0.0,-20.0
Troy Williams,24.0,11.0,13.0,391.93333333333334,143.0,56.0,124.66666666666667,45.13333333333333,14.333333333333334,48.0,29.900000000000002,16.666666666666668,25.666666666666668,64.10000000000001,16.333333333333332,47.333333333333336,63.666666666666664,17.333333333333332,20.0,19.0,7.333333333333333,43.666666666666664,304.3333333333333,0.0,0.0,-58.0
Ty Jerome,39.25,15.0,24.25,683.025,276.0,102.0,242.5,41.2,43.5,123.5,34.55,28.5,34.5,81.275,10.75,62.5,73.25,102.0,33.0,22.0,4.75,56.75,564.0,0.0,0.0,-84.0
Ty Lawson,69.0,32.6,36.4,2108.58,900.6,315.0,715.8,43.5,59.4,173.0,33.68,211.2,276.6,75.34,37.6,151.6,189.2,467.0,158.2,85.2,8.0,116.4,1949.8,12.8,0.2,-22.2
Ty-Shon Alexander,15.0,11.0,4.0,47.5,9.0,3.0,12.0,25.0,2.0,9.0,22.2,1.0,2.0,50.0,2.0,8.0,10.0,6.0,3.0,0.0,1.0,2.0,30.0,0.0,0.0,-8.0
TyTy Washington Jr.,31.0,6.0,25.0,432.7,145.0,58.0,160.0,36.3,19.0,80.0,23.8,10.0,18.0,55.6,2.0,43.0,45.0,47.0,14.0,15.0,2.0,29.0,307.0,0.0,0.0,-47.0
Tyler Bey,18.0,11.0,7.0,71.0,18.0,7.0,22.0,31.8,1.0,4.0,25.0,3.0,5.0,60.0,8.0,11.0,19.0,3.0,3.0,0.0,1.0,6.0,45.0,0.0,0.0,-37.0
Tyler Cavanaugh,25.0,9.0,16.0,279.0,96.0,35.0,81.0,37.05,16.5,47.0,28.0,9.5,11.5,90.5,24.0,43.5,67.5,14.0,7.0,4.5,2.0,32.0,210.5,0.0,0.0,-31.0
Tyler Cook,21.666666666666668,9.0,12.666666666666666,230.33333333333334,82.0,33.333333333333336,51.0,64.73333333333333,0.3333333333333333,0.6666666666666666,16.666666666666668,15.0,25.0,67.23333333333333,16.666666666666668,37.333333333333336,54.0,7.0,10.333333333333334,5.0,2.0,22.666666666666668,168.0,0.0,0.0,-26.0
Tyler Davis,1.0,1.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Tyler Dorsey,35.666666666666664,9.333333333333334,26.333333333333332,560.1333333333333,236.66666666666666,85.0,217.0,52.73333333333333,39.0,111.0,39.833333333333336,27.666666666666668,41.333333333333336,44.56666666666666,15.0,66.66666666666667,81.66666666666667,45.0,21.333333333333332,10.333333333333334,2.3333333333333335,38.666666666666664,419.0,0.0,0.0,-60.666666666666664
Tyler Ennis,46.5,19.5,27.0,584.35,194.75,80.0,190.75,41.575,16.5,52.0,31.2,18.25,23.75,76.2,12.0,50.5,62.5,89.75,42.75,24.5,4.5,58.25,449.0,0.25,0.0,-38.25
Tyler Hall,1.0,1.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
Tyler Hansbrough,65.75,40.0,25.75,935.95,313.5,96.75,209.75,46.95,0.75,3.75,20.25,119.25,172.25,67.1,106.75,146.75,253.5,20.5,39.25,24.75,14.75,120.0,728.0,2.5,0.0,36.25
Tyler Herro,60.5,36.0,24.5,1907.425,1068.0,391.25,890.25,43.825,150.25,392.75,38.15,135.25,154.5,86.875,25.0,270.25,295.25,212.0,130.0,41.0,12.5,85.75,1770.75,3.75,0.25,76.25
Tyler Honeycutt,9.0,3.0,6.0,31.5,8.0,3.0,11.0,27.3,0.0,2.0,0.0,2.0,2.0,100.0,3.0,7.0,10.0,2.0,5.0,0.0,1.0,2.0,21.0,0.0,0.0,-10.0
